"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 1.5 600 9 1 3.30456188010478 1.97463009758798 FALSE ""
7 0.5 300 1 2 7.26099028651824 0.601073075804757 FALSE ""
3 1 300 6 3 2.86287087488899 0.801604107715785 FALSE ""
3 1.5 300 9 4 3.10611357216331 1.56794559250291 FALSE ""
7 1.5 300 7 5 6.71129886256849 1.34205445356154 FALSE ""
7 1.5 200 10 6 6.37581535679614 0.860336148271546 FALSE ""
7 0.5 900 1 7 7.3649203326957 0.894937762426417 FALSE ""
7 1 500 10 8 6.77421354295579 0.934254361786616 FALSE ""
3 1.5 100 1 9 3.98421746091681 2.63485187750142 FALSE ""
3 1.5 500 7 10 3.06916891210055 1.50192465192825 FALSE ""
7 1.5 500 8 11 6.31960660071668 0.929596317711444 FALSE ""
3 1 600 5 12 2.79885718940616 0.791678424189928 FALSE ""
3 1 200 1 13 2.67147017928127 0.65403913496396 FALSE ""
3 0.5 600 2 14 2.77826258506564 0.418924493818574 FALSE ""
7 0.5 200 10 15 6.29635001707855 0.0259628972144785 FALSE ""
3 0.5 200 9 16 3.05226250522732 0.639154532325023 FALSE ""
7 1 100 7 17 6.18543009745743 0.485015536559258 FALSE ""
3 1 300 1 18 2.64816586051216 0.685649308560465 FALSE ""
3 0.5 600 7 19 2.93265634301588 0.396876463150768 FALSE ""
3 1 600 3 20 2.66041005949028 0.640783811244769 FALSE ""
3 1.5 500 5 21 3.88247419041107 2.3484824714327 FALSE ""
3 1.5 200 7 22 2.84557761578148 1.57557359840959 FALSE ""
7 1.5 700 1 23 6.85836430473348 1.24288671413071 FALSE ""
3 1 100 5 24 3.81385638993706 1.80014843448636 FALSE ""
7 0.5 900 10 25 7.5130202760833 1.00219487279694 FALSE ""
7 0.5 100 5 26 7.10310507789849 0.603073830408589 FALSE ""
7 1 1000 1 27 6.91819330545571 0.938990934165193 FALSE ""
3 1.5 300 1 28 3.3176725500222 1.69608623809505 FALSE ""
3 1.5 600 3 29 3.06122975547776 1.58660819968051 FALSE ""
3 1 400 9 30 2.89973760578929 0.789238036921688 FALSE ""
3 0.5 500 7 31 2.94907545094189 0.411607747991984 FALSE ""
3 0.5 600 3 32 2.82336241302614 0.370301454910564 FALSE ""
7 0.5 1000 1 33 7.19261743180044 0.704403008878299 FALSE ""
3 0.5 800 10 34 2.83169315112712 0.356435687351567 FALSE ""
7 0.5 200 2 35 7.00661290009766 0.436679936794308 FALSE ""
