"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
7 1.5 1000 424 1 7.13328190224848 1.49648211382217 FALSE ""
3 1.5 500 234 2 2.79414386875425 1.40754319167208 FALSE ""
7 1.5 300 25 3 7.05842260417785 1.5233950445094 FALSE ""
7 1.5 600 307 4 7.47337034427895 2.12181003105737 FALSE ""
7 1 700 348 5 6.80212829981118 0.847943548097131 FALSE ""
7 1.5 100 261 6 5.80781682578373 0.437745151897192 FALSE ""
7 0.5 700 474 7 7.76481802931274 1.22469929440815 FALSE ""
3 1.5 300 208 8 2.75012418377646 1.17448553119973 FALSE ""
3 0.5 800 199 9 3.23837007516453 0.71458176125058 FALSE ""
7 0.5 700 498 10 7.42132099291897 1.06275715587144 FALSE ""
7 0.5 800 30 11 7.07421096860871 0.646646457860396 FALSE ""
7 0.5 700 280 12 6.63074952838234 0.162269076904324 FALSE ""
3 1.5 500 368 13 3.15889500903157 1.65344810969154 FALSE ""
7 0.5 1000 66 14 6.94415747427225 0.436761279343433 FALSE ""
7 1 400 232 15 7.4943259037617 1.26687989373027 FALSE ""
3 1.5 700 291 16 3.08773429228573 1.52910968180716 FALSE ""
7 1.5 200 250 17 7.73116254503285 1.92911198065435 FALSE ""
3 1 100 140 18 2.43527604821205 0.197848363416541 FALSE ""
7 1.5 700 13 19 6.33057771931609 0.934801126349428 FALSE ""
7 1 400 380 20 7.75721851490449 1.82674316762863 FALSE ""
7 0.5 200 457 21 7.50573134557375 0.940715630505598 FALSE ""
3 1 300 41 22 2.94255303281872 0.981432147603403 FALSE ""
3 1 200 176 23 3.4595536377426 1.33253443545861 FALSE ""
3 1.5 500 212 24 2.96660158681575 1.49452230171262 FALSE ""
3 1.5 600 448 25 2.84708476839898 1.35811945082624 FALSE ""
7 1.5 300 409 26 6.5054662596816 0.925227434394042 FALSE ""
7 1.5 1000 369 27 7.06642847371132 1.57797430979483 FALSE ""
7 1 200 40 28 6.30505064966023 6.34333892718603e-184 FALSE ""
7 0.5 600 394 29 7.06363595913342 0.395105845156479 FALSE ""
7 1.5 700 334 30 6.88643911356065 1.35299979005569 FALSE ""
3 0.5 300 94 31 2.58350082295474 0.113297826427468 FALSE ""
7 0.5 900 244 32 6.52240106350716 3.44637196338872e-15 FALSE ""
7 0.5 900 247 33 6.92511123798573 0.354112960017198 FALSE ""
7 1 200 228 34 6.98711238699026 0.866933361626738 FALSE ""
3 1 700 414 35 2.86936226126805 0.954199397418642 FALSE ""
3 0.5 600 273 36 2.98202278925383 0.515438781417128 FALSE ""
7 1 600 197 37 7.85618136868558 1.78955027939976 FALSE ""
7 1.5 800 327 38 7.04758235127696 1.46752682391929 FALSE ""
7 1.5 100 480 39 7.13647484621254 1.5276622300173 FALSE ""
7 0.5 200 382 40 7.57653136904145 0.961672849766048 FALSE ""
7 1 900 387 41 6.58996593306844 0.613302989443351 FALSE ""
3 0.5 200 274 42 2.88998216271273 0.392333182784919 FALSE ""
3 0.5 200 287 43 3.08769238633661 0.730314520065455 FALSE ""
