"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 1.5 700 17 92 2.94570930058457 1.50974857821172 FALSE ""
3 0.5 500 136 93 3.02799499033428 0.651708533150075 FALSE ""
7 1.5 900 98 94 6.92110610723135 1.41876919344344 FALSE ""
7 1.5 700 198 95 7.01999499179742 1.61094928674609 FALSE ""
3 0.5 100 31 96 2.90999500609531 0.648425949663468 FALSE ""
7 1 900 58 97 6.98443945239063 0.937854907928873 FALSE ""
7 0.5 200 18 98 6.84499499496962 1.66838232918319 FALSE ""
3 1.5 300 155 99 2.90332831686809 2.04370343376302 FALSE ""
3 0.5 200 70 100 2.83499498927969 0.677204989941859 FALSE ""
3 0.5 300 8 101 2.9466616959201 0.556863099967197 FALSE ""
7 0.5 50 98 102 7.27999505057556 0.595071069358784 FALSE ""
7 0.5 1000 40 103 6.88199500188303 0.59660642631067 FALSE ""
7 1 400 133 104 6.86999499928069 1.12148825211759 FALSE ""
3 1.5 1000 50 105 3.08799498971531 1.64911769171359 FALSE ""
3 0.5 100 143 106 2.98999494271613 0.366572033528015 FALSE ""
3 1 900 141 107 3.06888389629577 0.930764107165487 FALSE ""
7 0.5 50 86 108 5.74073617915271 2.17235728872696e-16 FALSE ""
3 0.5 900 77 109 3.01666164466151 0.454609173725244 FALSE ""
7 0.5 600 75 110 6.94499500087015 1.07956956573989 FALSE ""
7 1 50 56 111 6.89999501422206 2.01700542836548 FALSE ""
3 1.5 100 16 112 3.0899950060508 1.62578505762523 FALSE ""
3 1.5 800 118 113 3.02874499022734 1.45317897291568 FALSE ""
7 1 1000 72 114 7.08199500217596 0.825259135120774 FALSE ""
3 1.5 500 198 115 3.02599499603649 1.33289966248284 FALSE ""
3 0.5 800 14 116 3.00124500941697 0.551587450247357 FALSE ""
7 1.5 900 21 117 6.99555055038067 1.75915022395759 FALSE ""
7 1.5 200 92 118 6.84499499463911 1.77482615148696 FALSE ""
3 1.5 900 80 119 2.82888389275334 1.78165563610917 FALSE ""
7 0.5 1000 184 120 6.96599499687704 0.14239235065605 FALSE ""
3 0.5 800 78 121 3.148745005311 0.49085743693817 FALSE ""
7 1.5 700 32 122 6.93856642478459 1.69594465284854 FALSE ""
7 1.5 1000 63 123 7.10199500883349 1.89239643771942 FALSE ""
3 1 1000 168 124 3.07499500040581 1.04826399224551 FALSE ""
7 1 200 1 125 6.78999499954065 1.18212574877374 FALSE ""
3 1 700 109 126 2.89142356996023 0.77491536622344 FALSE ""
7 0.5 300 22 127 7.19332833354655 1.13500110254543 FALSE ""
3 0.5 900 70 128 3.01332833996437 0.356212229926776 FALSE ""
7 1 100 164 129 7.0999949909377 1.75590904870152 FALSE ""
7 1.5 100 120 130 7.27999503956637 1.7636608479246 FALSE ""
3 1.5 100 65 131 3.01999499595802 1.2421989114312 FALSE ""
3 1 500 92 132 3.06199499196068 1.64521676831827 FALSE ""
7 0.5 700 172 133 6.96428070348272 0.327784138783893 FALSE ""
7 1.5 800 98 134 6.86124500054799 1.19934753911555 FALSE ""
3 1 800 148 135 3.03749500219353 0.911474372027047 FALSE ""
7 0.5 600 179 136 7.16832833306617 0.983373847632583 FALSE ""
7 1.5 400 149 137 6.95249498861028 2.11223299052664 FALSE ""
7 1 800 70 138 7.0224950005749 0.754656295980685 FALSE ""
3 1 1000 54 139 3.08899502247208 1.00453917862894 FALSE ""
3 1 600 81 140 3.08999500111653 1.0307736512231 FALSE ""
3 1.5 200 86 141 3.13499500207989 1.24010863079094 FALSE ""
3 1.5 200 13 142 3.1099951023399 1.58148097086136 FALSE ""
3 0.5 200 101 143 3.23499499611193 0.788089063358923 FALSE ""
7 1.5 200 100 144 7.17499501479734 1.27376680244603 FALSE ""
3 1.5 300 175 145 3.02999500300416 1.53717641030825 FALSE ""
3 1 100 183 146 2.61999505475352 0.410707587950105 FALSE ""
7 0.5 400 142 147 6.84999499758836 3.40810273991884e-12 FALSE ""
3 0.5 1000 165 148 3.04399500485333 0.53098233141659 FALSE ""
3 1 400 78 149 3.08249500201274 0.925575328549215 FALSE ""
7 0.5 200 172 150 6.90499503949122 0.527457020708568 FALSE ""
7 1.5 700 104 151 7.05428072850432 0.951724513789147 FALSE ""
7 1 100 114 152 6.92999503287407 0.969368472694138 FALSE ""
3 1 50 96 153 3.11999504763288 0.826831340655849 FALSE ""
7 0.5 100 154 154 7.18999510603375 0.0879875227402981 FALSE ""
7 1 600 86 155 7.14332833600663 0.688639098265234 FALSE ""
7 1.5 700 158 156 6.90713786395884 1.63851225183258 FALSE ""
3 0.5 200 153 157 3.0249950056784 0.954408227070498 FALSE ""
3 1.5 700 3 158 2.91142357010988 1.221392663275 FALSE ""
7 1 500 155 159 6.92599501505294 0.645098194314049 FALSE ""
3 0.5 300 75 160 3.00332846009956 0.473349455964571 FALSE ""
7 0.5 50 121 161 6.99999506681247 1.78818989745617 FALSE ""
7 1 1000 127 162 6.96699501482037 0.601228725614006 FALSE ""
7 1.5 200 81 163 7.03999504281631 2.66476894837299 FALSE ""
3 1.5 1000 163 164 2.88099499912831 1.67657160923426 FALSE ""
7 1.5 300 27 165 7.31999500425932 1.29911253564109 FALSE ""
7 1 800 71 166 7.32999499935587 1.10864682876807 FALSE ""
7 1 400 98 167 6.93499497266633 0.041787479418237 FALSE ""
7 0.5 100 17 168 7.03999498250394 2.36018165820739 FALSE ""
7 1.5 600 127 169 6.90999500160002 0.80739901539582 FALSE ""
7 1 600 198 170 6.99666166429982 0.637202314880017 FALSE ""
3 0.5 200 107 171 3.10499496055901 0.417794049502052 FALSE ""
3 1.5 100 81 172 2.96999499405989 1.38799933411777 FALSE ""
3 0.5 900 127 173 3.03221722317687 0.483277688284256 FALSE ""
7 1.5 800 117 174 6.9074950182723 1.44534486038443 FALSE ""
3 1 400 162 175 3.0999950022071 1.01446072414512 FALSE ""
3 1.5 400 141 176 3.14749498935014 1.87710832994484 FALSE ""
7 0.5 50 134 177 6.97999510828155 2.79664042409091 FALSE ""
7 1.5 900 127 178 6.88110610410813 1.62435703999007 FALSE ""
3 0.5 900 179 179 2.99443943016739 0.618275089712292 FALSE ""
7 1.5 400 165 180 6.95999499916114 0.783789271813102 FALSE ""
3 1.5 1000 39 181 2.98099500242422 1.73947241835867 FALSE ""
3 1 400 5 182 3.14999500133781 1.06827948429415 FALSE ""
7 0.5 800 124 183 6.9774950820786 0.431909270151977 FALSE ""
7 1 1000 58 184 6.85199499898046 1.21666407259572 FALSE ""
3 0.5 600 137 185 2.90832833118621 0.615566039462985 FALSE ""
7 1 900 155 186 6.94110612585959 1.75623036953471 FALSE ""
3 0.5 600 171 187 2.93332833725016 0.309580235636958 FALSE ""
7 0.5 1000 28 188 6.90299499066214 0.24558219719144 FALSE ""
3 0.5 800 24 189 3.08374501403765 0.432846218664926 FALSE ""
3 1 600 118 190 2.97666166480112 0.809079376189733 FALSE ""
3 1.5 800 112 191 2.92249499163551 1.3825813285318 FALSE ""
7 0.5 200 67 192 7.16499498529325 0.147052209763344 FALSE ""
3 1.5 800 117 193 2.96749499429352 1.40012118039933 FALSE ""
3 0.5 50 169 194 3.01999494546407 0.274300300149905 FALSE ""
3 1 100 105 195 2.81999459258069 1.01349756903113 FALSE ""
7 1.5 600 141 196 6.81666166914538 0.906592846431641 FALSE ""
3 1.5 800 200 197 2.91874498903443 1.58483007544161 FALSE ""
3 0.5 300 165 198 2.88332829786946 0.413240079479543 FALSE ""
7 0.5 50 197 199 5.49964733127659 2.1698697565511e-16 FALSE ""
3 1.5 200 107 200 3.04999498851974 1.5643027857486 FALSE ""
3 0.5 300 50 201 3.123328331943 0.752987329672081 FALSE ""
7 0.5 300 188 202 7.25332832787384 0.198205827999378 FALSE ""
7 1.5 200 105 203 7.04999499652334 1.37269033721034 FALSE ""
