"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
7 1 300 479 1 7.62052880516401 1.49774471680575 FALSE ""
3 0.5 400 276 2 2.84839863712898 0.436805786321689 FALSE ""
7 1 800 458 3 7.44491611002298 1.40192861534023 FALSE ""
7 1.5 500 12 4 7.17897571666859 1.62073522280954 FALSE ""
7 1.5 400 145 5 7.44142196848955 1.8287243286854 FALSE ""
7 1.5 700 2 6 7.26520948590595 1.71299619266134 FALSE ""
7 0.5 200 443 7 7.0712567670192 0.581261259912314 FALSE ""
3 0.5 800 374 8 2.97662184995675 0.494657121038929 FALSE ""
3 0.5 1000 283 9 2.77967317531344 0.351588486172543 FALSE ""
3 1.5 600 70 10 2.81815994652936 1.32757486350933 FALSE ""
7 1.5 500 291 11 6.95611063607637 1.47120233025124 FALSE ""
3 1 1000 329 12 3.41073974969927 1.42020118959131 FALSE ""
7 0.5 700 464 13 6.84792390176193 0.366430670855106 FALSE ""
7 0.5 900 433 14 7.06442614377799 0.468728046325856 FALSE ""
7 1 200 403 15 7.06920826865748 0.919075947697689 FALSE ""
3 1 300 185 16 3.05884368207222 1.14395906870196 FALSE ""
3 1 100 256 17 2.63694576471375 0.765961057705624 FALSE ""
7 1 800 138 18 6.73430870595253 0.815392716193743 FALSE ""
7 1 700 346 19 6.88672786981579 0.90788225703938 FALSE ""
7 1.5 300 408 20 7.03840265229154 1.49957701667009 FALSE ""
7 1 1000 302 21 7.29295011049281 1.34041482111403 FALSE ""
7 0.5 300 171 22 7.75146665905554 1.03165321665635 FALSE ""
7 0.5 600 421 23 7.33947167464191 0.862510115022334 FALSE ""
7 1.5 200 121 24 6.58569434590645 1.09061631945262 FALSE ""
7 1.5 1000 65 25 6.53024383592643 1.25006737458643 FALSE ""
3 1 300 56 26 2.64868334617352 0.575818300088662 FALSE ""
7 0.5 400 72 27 7.09647507173486 0.518743811495651 FALSE ""
3 1 100 445 28 3.67735195033858 1.5384006387923 FALSE ""
3 0.5 800 161 29 3.09937081466789 0.536999032166859 FALSE ""
7 1.5 400 209 30 7.28225048502615 1.75736160670201 FALSE ""
7 1.5 1000 91 31 6.81148061770149 1.26225585869874 FALSE ""
7 1.5 100 230 32 6.90658250541513 1.5483149428458 FALSE ""
7 1 900 303 33 6.98815354573197 1.09812738806588 FALSE ""
3 1 700 59 34 2.99862911288259 0.962523422374274 FALSE ""
3 1.5 400 464 35 2.94315760381637 1.28894204901502 FALSE ""
7 1.5 600 149 36 7.10102182507557 1.50396801930356 FALSE ""
3 1 300 491 37 2.95591279011297 0.860318291878382 FALSE ""
7 0.5 700 126 38 7.38563871359751 0.932858135026812 FALSE ""
7 0.5 200 224 39 6.98098796952958 0.370614413215967 FALSE ""
3 0.5 800 23 40 2.86925437930449 0.499853348647517 FALSE ""
