"n" "rep" "id" "b0_mu_hat" "b1_mu_hat" "b2_mu_hat" "g0_si_hat" "g1_si_hat" "g2_si_hat" "error" "errorMessage"
700 85 1 1.06166593644194 -3.03031662770325 2.21121027702427 0.936629604482899 -1.89995274276298 1.28835414859249 FALSE ""
50 305 2 1.60700019380457 -3.09586361734231 1.71881958240133 -0.28378374506076 -1.00665857180346 3.53257848577108 FALSE ""
400 375 3 0.987912009830303 -2.94940132783328 2.23356637309912 1.38771449535266 -2.50197626426702 1.19560745941237 FALSE ""
700 232 4 1.14761274782296 -2.90163355289708 2.02788999576616 0.722216088009716 -1.51616242252255 1.42821075596862 FALSE ""
300 201 5 1.32552891304875 -2.85030023636837 1.84795332844234 2.50436981310129 -2.79313760016424 -0.156621319167491 FALSE ""
300 93 6 1.28699263522322 -3.22772237913991 1.93079822970071 2.5016424448736 -2.07962016662959 0.0477703636114979 FALSE ""
200 129 7 1.16784448007983 -2.85701556001645 2.01194598774931 1.69476546818238 -1.47786536813105 0.202574798995537 FALSE ""
50 166 8 1.15211443008198 -2.37905930957978 1.63418484845368 -0.021707012075263 0.947248552278436 2.08740464151951 FALSE ""
1000 332 9 1.28496261383553 -3.0690675850653 1.93301350244247 1.53336370549482 -2.13610556301844 1.18236016908691 FALSE ""
1000 371 10 1.15749175696082 -2.96478292367881 2.06704095003572 1.11425813550431 -2.29281151609372 1.90632895142902 FALSE ""
700 226 11 1.2274229379176 -3.00889319114748 2.0656817756542 1.14354630348762 -2.20146216452463 1.12673991376815 FALSE ""
100 203 12 1.35842670209596 -2.99593797635054 1.80734131151334 0.0696727668009041 -3.63285666433465 4.02446309862622 FALSE ""
800 112 13 1.13633383474364 -2.86550027191952 1.99602708436136 1.63956197324536 -1.80844413226212 1.06920709936098 FALSE ""
200 423 14 1.28543252850287 -2.96079805991814 1.94289503862539 2.27171232459569 -2.455710360778 -0.0499092623675159 FALSE ""
