"n" "rep" "id" "b0_mu_hat" "b1_mu_hat" "b2_mu_hat" "g0_si_hat" "g1_si_hat" "g2_si_hat" "error" "errorMessage"
200 181 1 1.25664683128485 -2.80264206504514 1.95334503119254 1.0938885567932 -1.00036121301342 0.310386350567451 FALSE ""
200 2 2 1.19149599742882 -2.84493393875476 1.87862066218538 0.973299168304386 -1.47945916286403 0.477807419396361 FALSE ""
500 37 3 1.25422759251276 -2.99500025929385 1.94095686259477 0.933714439291938 -1.86726687173392 2.19329913855073 FALSE ""
100 54 4 1.40988520242121 -3.13286900491338 1.92493210307108 -2.57210882287312 2.24136978406967 3.67835947519044 FALSE ""
50 185 5 1.82678476421918 -3.14696455293526 1.18735114059549 5.42744954109393 -29.2076564286285 -1.41075803939733 FALSE ""
50 125 6 0.174989592684541 -2.7874753957185 3.15413923781862 3.78029222917469 -2.76223819541775 -1.7856238891561 FALSE ""
600 181 7 1.12272888384113 -2.94500015431695 2.05513862186722 0.74975794804484 -1.17887900027269 1.58486427581448 FALSE ""
300 23 8 1.2283904054128 -3.04272385955631 1.94093464994802 0.199640138846912 -0.32576698471753 2.25124639325343 FALSE ""
200 26 9 1.10590671277271 -3.03411167260549 2.06200120846954 1.21125098247403 -1.99002989596163 1.23016041678219 FALSE ""
700 179 10 1.22015837217947 -3.05464596272996 2.01131185538297 1.37505672352176 -1.88125310731044 1.07810020076358 FALSE ""
500 154 11 1.1783363062555 -3.12859612674417 2.1052312446174 2.56870901799461 -3.85149269447779 1.15748394809877 FALSE ""
600 122 12 1.31385199972985 -2.98707101597221 1.87380049130962 1.90395716718104 -2.32902096608191 1.02656293350046 FALSE ""
800 22 13 1.16206035558858 -2.92386050192232 2.02130636507358 1.11413556877235 -1.83861759671349 1.60544216780374 FALSE ""
800 162 14 1.19709811980775 -3.00365263440271 2.05175648110428 0.76082168180353 -0.550221868771583 0.583257558347592 FALSE ""
50 155 15 1.14768938852445 -2.81377496613056 1.87239619723667 -5.00132032092176 5.62232170223246 6.73285559371926 FALSE ""
1000 137 16 1.21357694183672 -3.19653226065453 2.03001033597758 1.33415171470676 -1.5838445832145 0.944116913881061 FALSE ""
200 21 17 1.22547100800705 -2.92125925483694 1.97434567961086 2.30707503729101 -1.93692774293068 -0.924608195455767 FALSE ""
700 118 18 1.08181831255787 -2.8820097838513 2.11468990737513 1.53420107428559 -2.06462387741428 1.2605432201916 FALSE ""
100 79 19 1.22505101604642 -3.04662763971754 2.09984889176479 0.44627451999545 -1.84443860818741 0.284813505962204 FALSE ""
400 86 20 1.28207496226757 -3.15486087170332 1.96399754970228 2.17230471006992 -3.36670369641263 0.829799079855643 FALSE ""
300 176 21 1.28005852759309 -3.17362962166474 1.91794119292079 1.50539935058665 -2.82899178139312 1.30850741312322 FALSE ""
100 66 22 1.17070477033247 -2.95471639355538 2.08663871561263 0.253812222380417 -0.0342484482993818 1.37788056640635 FALSE ""
500 183 23 1.08393941211886 -3.09012020257059 2.19492792792995 0.484410424336087 -0.828987711657981 1.98114350446968 FALSE ""
200 23 24 1.35326669391616 -2.98703297878703 1.72602530359942 -1.88400083955604 1.19779228106975 4.33225341567194 FALSE ""
200 139 25 1.24903887043414 -3.2796175271324 2.08410650083102 1.79922340930859 -2.24352676795554 0.368258878390739 FALSE ""
100 75 26 1.23363385666615 -2.85274959780689 1.95738980845874 -1.39195040267127 1.03818451507106 2.00450686261024 FALSE ""
1000 96 27 1.27637503227779 -3.12725400559629 1.97636660861997 0.842825657307377 -1.28176096533793 1.45098558731342 FALSE ""
200 32 28 0.937742143008729 -2.911778865563 2.39642999271667 1.92996167788233 -3.99491036616911 2.24955681866182 FALSE ""
50 64 29 1.18830957304591 -3.25401145937809 2.18645727767895 -0.270148787492041 -1.7615494976806 4.05846512465201 FALSE ""
200 148 30 1.10119059989841 -2.95845806282837 2.14903016617589 1.28846982370595 -1.96590415249232 2.36004539418514 FALSE ""
800 7 31 1.18720552532137 -2.90317581078467 1.93797002851438 1.29144887365809 -2.60617577933519 2.5103795462269 FALSE ""
200 71 32 1.02025322788415 -3.00956968811556 2.32593675274417 1.12754467563256 -1.16973282381699 1.10665972269138 FALSE ""
200 192 33 1.11648240939068 -2.73040178275434 2.03535331959966 1.76760534375736 -3.11501055018676 1.13774352295694 FALSE ""
600 146 34 1.21784006878561 -3.10657490456142 2.08756005066883 1.46481504551595 -1.93255376124297 1.49376633964165 FALSE ""
600 112 35 1.38443847464926 -3.02517754653733 1.77715865614583 1.32728902591475 -3.2507285768282 2.05243675784696 FALSE ""
800 92 36 1.13361514264197 -3.12028457142952 2.15313231975384 1.34782656890305 -2.13174844265469 1.44218038364799 FALSE ""
100 162 37 1.08419875831759 -3.2737788625866 2.27685373491418 -1.42220473171522 0.972370331766657 3.3418790034675 FALSE ""
900 27 38 1.2596232612719 -3.01981897912587 1.88190612561641 1.77350474128787 -2.05133667306724 1.02639892461953 FALSE ""
900 7 39 1.1225584079773 -3.03359986879889 2.11788486953099 1.46615023135958 -3.00441429181279 1.31737088379588 FALSE ""
900 17 40 1.19777420313736 -2.9829649559089 1.9950130760016 1.72559429319566 -3.58669653489885 2.2221752680532 FALSE ""
800 54 41 1.22169953132915 -2.90209133722871 1.93780803149092 1.53316819375577 -2.82357677658808 1.83917792030289 FALSE ""
600 29 42 1.2940503019503 -3.06992401860363 1.98550006822317 1.91434472841335 -1.65635993823515 0.0901782845345851 FALSE ""
1000 33 43 1.17664951788853 -3.00961771189258 2.08034783856939 1.65542414777455 -2.73850502278505 1.18191070128411 FALSE ""
800 155 44 1.26520638170816 -3.01077392812311 1.85307780664634 1.20715331876118 -1.93598349022873 1.5122459189147 FALSE ""
900 183 45 1.26158085044923 -2.96479109391099 1.95317696231769 1.42377373498302 -3.03913204557638 2.06831667946774 FALSE ""
700 108 46 1.21262449819535 -3.01963722927932 1.99790344162161 0.333518294533395 -1.40861283986996 2.07988582152642 FALSE ""
700 13 47 1.1938008503445 -2.95703706761218 2.05904985142917 0.563278733305088 -2.01847476136476 2.51315555345892 FALSE ""
200 161 48 1.12462256315641 -2.75465053471758 1.91042332584943 0.251760182854206 0.074109091313442 1.37869288688345 FALSE ""
600 184 49 1.25456879633571 -2.89980192689495 1.85136898260258 1.54574605782414 -3.563768046663 2.34328696416119 FALSE ""
200 34 50 1.20201339839944 -3.1435622994257 1.96504520331945 0.418328267371697 -2.50477702050528 2.98041905603326 FALSE ""
200 125 51 1.22263675371224 -2.99951875193398 2.05574089863031 -0.179238573552714 0.614811848073888 1.74544262766958 FALSE ""
600 121 52 0.997470149037202 -2.86154597669477 2.22359639856891 1.12340395311276 -2.18326813327831 2.12517621229423 FALSE ""
600 139 53 1.17636982939907 -2.94077196392485 2.05355913853535 0.963034998776923 -1.5137466444729 1.96460209125902 FALSE ""
300 165 54 1.17373999427472 -2.91900589030908 2.03627091540729 0.755186173736539 -2.33327363556119 1.99238559257377 FALSE ""
900 52 55 1.20963860395933 -3.03905549521715 2.0572516342994 0.769312549182625 -2.20118996526706 1.52015787525444 FALSE ""
50 134 56 1.12333801678124 -3.52772426865686 2.49220476413343 -2.74653969123547 2.97375347356348 4.81131667280398 FALSE ""
200 127 57 1.25291775233453 -3.0155196378918 2.02429189849428 0.878788454374387 -1.39703972255409 1.80549189194065 FALSE ""
600 72 58 1.2474823978683 -2.98654147188787 1.88428695281124 0.94060208800383 -1.69050450419811 1.72943139623035 FALSE ""
200 51 59 1.33662149780101 -3.10597040351119 1.84266720608647 1.50060187771542 -1.39621823740066 0.802457307377113 FALSE ""
900 143 60 1.27938363223737 -3.02761320146663 1.93142296634772 1.82760193699471 -1.99771158134199 0.965925458762869 FALSE ""
800 182 61 1.27484195805988 -3.15334632878741 1.99596428836109 1.20260017845851 -1.47046445486774 1.94527865594105 FALSE ""
700 135 62 1.30528929415193 -2.89650196930572 1.85976199443033 1.56839021976233 -2.40600121275518 1.47164030550655 FALSE ""
100 68 63 1.00369682239644 -2.44623125322166 2.07852588952628 2.01934199177831 -3.26522467519031 1.30385343116733 FALSE ""
200 162 64 1.18456599245831 -3.16340728951639 2.06019062754495 0.455233903313544 0.270532038439723 -0.210025055337374 FALSE ""
1000 8 65 1.21400440408247 -2.99559013412696 2.02466776896269 2.06419090377803 -2.52125266954243 0.831088467669719 FALSE ""
900 93 66 1.28828501953517 -3.07406599880315 1.91141801278008 0.548445553808126 -0.360664690035551 1.33862431961277 FALSE ""
50 30 67 0.865657584280871 -3.05754530124338 2.29934538104453 -1.12698077912068 1.90165467006598 1.69154935115065 FALSE ""
50 34 68 1.31409885077453 -2.55076608392616 1.72174962345064 -0.838860955801306 0.527074265361298 2.23104709930971 FALSE ""
700 195 69 1.05671423873222 -2.83131635180685 2.15321490969836 1.49570149859798 -2.72803701822293 1.42162344470212 FALSE ""
300 58 70 1.28222680025501 -2.95816520717479 1.95265212452885 2.735542082739 -3.90637589236514 0.363514168674679 FALSE ""
400 10 71 1.22564538251047 -3.07587887835485 2.02714141406022 0.883442232559942 -0.535348019131667 0.955148018043315 FALSE ""
400 13 72 1.10443915516482 -2.80876921014816 2.0419883531323 1.24394233052342 -1.84037721833347 0.818377082116527 FALSE ""
300 63 73 1.14212062141554 -2.82296972042743 2.04106364945884 1.73321276343786 -3.09670291016382 1.97925435079657 FALSE ""
900 4 74 1.24401202117986 -3.06130302330521 1.95425949175881 1.40384101340626 -2.70788586429873 1.92894998966519 FALSE ""
700 69 75 1.16423401808985 -3.10815072689919 2.05939816035492 1.20335878474591 -1.56243382953368 0.855191984613931 FALSE ""
