"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 1.5 4000 9 1 2.95088748635908 1.43404498319853 FALSE ""
3 0.5 3000 28 2 2.96308200413815 0.480122738198921 FALSE ""
3 1 2000 81 3 3.08111749409042 1.07283632862314 FALSE ""
3 0.5 4000 70 4 2.94599496441303 0.444562908301237 FALSE ""
3 1 2000 70 5 3.12935798650251 1.10964231544928 FALSE ""
7 1 2000 38 6 7.23306415249387 1.14225653132689 FALSE ""
7 0.5 3000 39 7 7.03416304608854 0.483283373970927 FALSE ""
7 1.5 3000 3 8 7.18761856678528 1.71708703998261 FALSE ""
3 0.5 2000 81 9 3.16818072200179 0.61819337264689 FALSE ""
3 1.5 2000 22 10 3.03598562845048 1.50935223527029 FALSE ""
7 1.5 4000 71 11 7.03032719229814 1.47373733691132 FALSE ""
3 1 2000 33 12 3.05915346404328 1.010250607845 FALSE ""
3 1 2000 46 13 2.83766000540013 0.838417079688729 FALSE ""
3 1 2000 23 14 3.09252927204093 1.03584150436285 FALSE ""
3 1 5000 37 15 3.02968739627947 0.997202609732857 FALSE ""
7 0.5 4000 66 16 6.67849292795959 0.307476959728106 FALSE ""
7 1 3000 49 17 6.8202017199907 0.897088405884204 FALSE ""
3 1 3000 65 18 2.92318167131358 0.936545112203497 FALSE ""
3 1.5 2000 88 19 3.01958708305889 1.54749866261976 FALSE ""
7 1 2000 15 20 6.96582534626753 1.11932511688453 FALSE ""
7 1.5 5000 25 21 6.97965589082214 1.54011746831058 FALSE ""
7 1 5000 23 22 7.01613241264955 1.02793718823993 FALSE ""
7 1.5 2000 14 23 6.7417533048875 1.24880532684886 FALSE ""
3 1.5 4000 72 24 2.86882504555758 1.3237375726015 FALSE ""
3 1 2000 18 25 2.94361964863083 0.939728975259024 FALSE ""
3 0.5 2000 60 26 3.08982549328337 0.557748385843806 FALSE ""
3 0.5 4000 27 27 2.96179569032354 0.476854682518326 FALSE ""
7 1 3000 15 28 6.81297254053182 0.815156223703333 FALSE ""
3 0.5 4000 36 29 3.07392687047635 0.577400752551812 FALSE ""
7 0.5 2000 1 30 7.02151740081938 0.488822750261431 FALSE ""
3 1 5000 35 31 2.90319930204591 0.881655589596431 FALSE ""
7 0.5 3000 68 32 7.01984220234681 0.444885492470306 FALSE ""
7 1 4000 47 33 7.19117009202545 1.12160800266918 FALSE ""
7 1 2000 22 34 6.74459639441462 0.738457891375186 FALSE ""
3 1.5 3000 71 35 2.86621764251798 1.34221215099936 FALSE ""
3 1 5000 73 36 2.93777617896707 0.933069797308115 FALSE ""
7 1.5 2000 4 37 7.20058048236854 1.66443528117513 FALSE ""
3 1 3000 12 38 2.96649592742392 1.00262333130381 FALSE ""
7 0.5 4000 29 39 6.89882165600941 0.426383404299644 FALSE ""
7 1 5000 86 40 7.28432066824246 1.21286012693397 FALSE ""
3 0.5 2000 41 41 3.01878424205957 0.496523379615744 FALSE ""
3 1.5 2000 16 42 3.10735529603934 1.63089096555518 FALSE ""
7 1 2000 31 43 6.88109859940226 0.80040787805433 FALSE ""
7 1 4000 5 44 7.053034292593 1.09458291269034 FALSE ""
3 0.5 4000 62 45 2.99437207478351 0.53546661654116 FALSE ""
3 0.5 4000 7 46 2.97920745610286 0.465817066511597 FALSE ""
7 0.5 4000 7 47 7.02220476941135 0.522210208154762 FALSE ""
3 1.5 2000 45 48 2.91304327900102 1.36185775273372 FALSE ""
7 1.5 2000 49 49 7.22677676830922 1.74094753192478 FALSE ""
7 1 4000 38 50 6.92980745683661 0.931017419057294 FALSE ""
3 1 3000 77 51 2.94034041139753 0.912963886009386 FALSE ""
7 1.5 4000 37 52 6.81532684928889 1.32734695825478 FALSE ""
3 1 5000 51 53 3.09192866927575 1.06848480936187 FALSE ""
7 0.5 5000 87 54 6.9585882032725 0.461758686172804 FALSE ""
3 1.5 5000 19 55 3.01682900938207 1.56707232464795 FALSE ""
7 1.5 3000 65 56 6.94628913767953 1.47944084967842 FALSE ""
3 1 4000 6 57 2.8787784885221 0.918599080313804 FALSE ""
3 0.5 3000 63 58 2.84197430075289 0.401344567342299 FALSE ""
7 1 5000 12 59 6.88615177921272 0.920833491658357 FALSE ""
7 1.5 3000 13 60 7.02343607133243 1.5667011826524 FALSE ""
7 0.5 2000 24 61 6.43052270939017 5.14672624212764e-106 FALSE ""
7 0.5 2000 56 62 6.87059471804944 0.361473867094614 FALSE ""
3 0.5 4000 76 63 2.97106180589854 0.515974382506965 FALSE ""
7 1.5 5000 65 64 7.01877447746167 1.49059223815331 FALSE ""
3 0.5 5000 60 65 3.06523909906286 0.582794884077742 FALSE ""
7 0.5 2000 49 66 6.84217521463924 0.306998137481908 FALSE ""
7 0.5 3000 50 67 6.99307818526542 0.532065710796798 FALSE ""
7 1 4000 75 68 6.87008511037703 0.890633211465075 FALSE ""
3 1 2000 47 69 3.08836777296446 1.12046648069388 FALSE ""
7 1 5000 81 70 7.19581450330294 1.18434279037063 FALSE ""
7 1 5000 32 71 6.99961444111272 0.964133932244883 FALSE ""
7 1 4000 51 72 7.14906509072461 1.17494515402857 FALSE ""
7 0.5 4000 25 73 7.02705240995114 0.553263290058921 FALSE ""
7 1 5000 43 74 7.0862578680872 1.10559487074952 FALSE ""
7 0.5 3000 63 75 6.91791547501524 0.477080123318353 FALSE ""
7 1 2000 88 76 6.92404279693138 0.976025300035113 FALSE ""
7 1 4000 1 77 6.82916342807376 0.819138911172972 FALSE ""
7 0.5 5000 76 78 7.10717740354611 0.601203121466278 FALSE ""
7 1.5 4000 81 79 6.8033988088774 1.34088383852634 FALSE ""
3 1 3000 67 80 2.75152423541611 0.770808373515527 FALSE ""
7 1 4000 53 81 6.97144036735912 0.965046122538624 FALSE ""
3 1 4000 72 82 3.08973099009136 1.13356061026549 FALSE ""
7 1.5 5000 84 83 6.95089676211665 1.41144990698656 FALSE ""
7 0.5 5000 4 84 6.95953804304277 0.497722404531609 FALSE ""
3 1 4000 12 85 2.86001898597372 0.883326035148537 FALSE ""
7 1 3000 38 86 6.84981011540275 0.84114739322509 FALSE ""
3 1 5000 1 87 3.01996617661158 0.973538325808016 FALSE ""
3 1.5 3000 18 88 3.13703313533325 1.65434064728768 FALSE ""
7 1.5 4000 62 89 7.15340684130663 1.67237321236393 FALSE ""
3 1.5 3000 35 90 3.20668450624221 1.68137427521677 FALSE ""
3 1 5000 64 91 3.01805107980974 1.03661395046409 FALSE ""
7 0.5 4000 3 92 6.6093761386294 0.148749977972792 FALSE ""
3 0.5 4000 84 93 3.10983795067713 0.530552518213979 FALSE ""
3 1.5 3000 23 94 3.06060976216506 1.53507916849634 FALSE ""
7 1.5 4000 88 95 6.68441166162165 1.23153376051696 FALSE ""
3 1.5 5000 82 96 2.99958543905388 1.52158266876091 FALSE ""
3 1 5000 88 97 3.0634566181992 1.03107023461172 FALSE ""
3 0.5 4000 57 98 2.9754161229905 0.428009147901597 FALSE ""
3 1.5 5000 4 99 3.16145009383118 1.66765877878347 FALSE ""
3 0.5 4000 46 100 3.02323240948217 0.501110039207613 FALSE ""
3 1 4000 3 101 3.183928384343 1.15153326806497 FALSE ""
3 1 2000 56 102 3.04559066697018 0.997959745332998 FALSE ""
3 1 2000 39 103 3.15628840056393 1.18252909219425 FALSE ""
7 1.5 3000 63 104 7.15566840114617 1.66239638960773 FALSE ""
3 1.5 2000 44 105 2.93859967166447 1.51088803238213 FALSE ""
7 1 3000 56 106 7.04801162054848 0.99080638270469 FALSE ""
3 1 4000 4 107 3.07368001461513 1.03828230839796 FALSE ""
7 0.5 5000 11 108 7.08595802568659 0.529925126770104 FALSE ""
3 0.5 3000 55 109 2.96429840132223 0.43868320508844 FALSE ""
3 1.5 5000 11 110 3.0498744266863 1.59724884678373 FALSE ""
3 0.5 4000 85 111 3.11870375009764 0.605750421489254 FALSE ""
3 1.5 3000 53 112 2.99853112753471 1.51417626958064 FALSE ""
3 0.5 4000 52 113 3.05111718666753 0.545558363707937 FALSE ""
