"n" "rep" "id" "b0_mu_hat" "b1_mu_hat" "b2_mu_hat" "g0_si_hat" "g1_si_hat" "g2_si_hat" "error" "errorMessage"
900 191 1 1.24762907975387 -3.03272990703657 1.9395191650398 1.17026217383229 -1.84130930623223 1.57689845312518 FALSE ""
500 3 2 1.18350486839246 -3.15844180765986 2.0663487512124 1.08490263014254 -1.687806436098 1.01015600685107 FALSE ""
100 106 3 1.18597138475652 -3.03282215673904 2.15371734646331 2.42926405096926 -3.67771465787075 -0.211183775527227 FALSE ""
200 96 4 1.3952463259802 -2.95492038211463 1.81560863284606 1.24667218894329 -2.67808272107093 1.99248955873661 FALSE ""
500 175 5 1.23879520281745 -3.13348769713813 1.94826066727185 0.640899003184141 -1.24424880002964 1.90257930783008 FALSE ""
600 124 6 1.20697688894345 -3.15676275775937 2.01449562432392 1.10440396876553 -2.20339662437571 1.56728398712756 FALSE ""
50 197 7 1.82282755623045 -4.48254978297875 1.711654821885 2.91987801326242 -2.00689947979449 -2.46761861713798 FALSE ""
1000 149 8 1.27509842952247 -2.8837633425525 1.87091641149069 0.533474854930605 -1.7560138707997 2.6978448779044 FALSE ""
500 127 9 1.36043576523811 -3.02653319050472 1.80406822087536 1.22916095841254 -1.55821198686892 1.96072510823996 FALSE ""
300 142 10 1.22346580481844 -3.06254092111011 2.09330740069198 1.10272463099534 -1.07111693845779 1.02242074671025 FALSE ""
400 182 11 1.29982683409619 -2.96129935681049 1.96290021496965 1.87322004139151 -3.06768121988859 1.11923354909489 FALSE ""
600 176 12 1.21192722204952 -3.01252313134778 1.93774123588669 1.8529918007979 -3.83161430911022 1.3799190729693 FALSE ""
600 2 13 1.10670866188301 -2.82846827433283 2.03835014149943 1.78589712133084 -2.73309424606339 1.30375967743117 FALSE ""
300 183 14 1.28664136338995 -3.05215694965827 1.88339691634045 0.321057710165566 -1.44041626046029 2.10568554512562 FALSE ""
50 133 15 1.43082984346564 -2.96928907520812 1.83725527799058 -10.1729865898994 8.73242693133753 6.33273347080484 FALSE ""
100 68 16 1.0343161615173 -2.99462120026201 2.12096440016204 -1.84718135589624 1.94662558982901 1.68510330188794 FALSE ""
200 128 17 1.35400912650327 -3.09888681084698 1.92438614893285 1.42716015536558 -2.93122132546641 2.20847028423948 FALSE ""
200 75 18 1.2198645571101 -3.4408151600129 2.14422438322873 0.723590094733914 -1.65786857311129 1.49483860583697 FALSE ""
100 62 19 1.24192700792982 -3.04510354600062 1.71910064707959 -0.0823392424666519 -3.16455540769335 4.58123505833373 FALSE ""
300 26 20 1.31164861965516 -3.02959666139823 1.82802153592538 1.98802626948881 -3.74815623731985 1.59214477137023 FALSE ""
1000 85 21 1.14047330034919 -3.01605715859893 2.06651742247064 1.09033424664422 -1.1156235340746 1.0090304937635 FALSE ""
200 120 22 1.09914081438929 -2.97643886961434 2.16995631043368 2.33589660319764 -3.11610814082199 0.705905080772924 FALSE ""
500 20 23 1.05150895740366 -2.96177979298608 2.16423356280095 1.55262102183859 -2.79153557226515 1.57161185239477 FALSE ""
200 78 24 1.11966723013402 -2.96912713718043 2.16090253954527 -0.892722699242606 0.0982865741956427 2.37105784426607 FALSE ""
50 156 25 1.15087340621161 -2.57504890689593 2.01806277757239 2.38015445654345 -0.835296581252595 -0.586603921198122 FALSE ""
1000 101 26 1.30819236730966 -3.11953578468925 1.87396126435796 1.8470869266099 -2.55582473386292 0.764339236141152 FALSE ""
100 20 27 1.63777794264923 -3.78057314358778 1.70552562935392 0.318558649422796 -1.17736676678834 3.60251120149845 FALSE ""
600 52 28 1.19395119192284 -3.14577528621866 2.1450927174241 1.4796443147344 -1.27675024636419 0.317407451391992 FALSE ""
1000 120 29 1.15931366275026 -3.08058298310918 2.11684920733365 0.833942945983573 -1.36812077644489 1.92099325956328 FALSE ""
600 11 30 1.35456808327153 -3.0445694177514 1.85642745631854 0.779672886935201 -0.172230009988907 0.912098999358503 FALSE ""
300 80 31 1.27960667222891 -3.1506725669281 1.95272413801928 0.811364280224734 -1.19979168927002 1.79336828794781 FALSE ""
300 117 32 1.32882368155505 -3.06972580003829 1.83676190525701 2.1779325364797 -3.20256039199566 -0.126497262672571 FALSE ""
900 180 33 1.20937145688468 -2.99369343058521 1.99886657324564 1.32571233250116 -2.64935892160646 2.427839369214 FALSE ""
100 187 34 1.22297093536889 -3.16325548111606 2.05427544259738 -0.509928201555867 -0.362152482411622 3.05014915594055 FALSE ""
200 60 35 1.25269715485565 -3.11590322805396 2.08322939809914 1.27641963682764 -1.92516139176889 2.16613250725159 FALSE ""
700 154 36 1.32407298668277 -2.96073128018133 1.85109540521351 1.24107694328661 -2.67216142108681 2.22841785164469 FALSE ""
700 200 37 1.16104061328427 -3.11878237288838 2.15807437192165 1.35301202583747 -2.6350103188285 2.29865069386036 FALSE ""
200 154 38 1.1097252484929 -2.82767660727002 1.99501465985108 0.596277798966131 -1.65985843303002 1.72157859501211 FALSE ""
800 58 39 1.16440302064387 -2.90686368302275 2.04007160718727 1.38494322003736 -2.22821211655475 1.00024318944911 FALSE ""
200 21 40 1.22367114045122 -3.08278116044128 2.05323489547659 0.392139919589064 -2.13442415762755 3.1392579122014 FALSE ""
50 122 41 0.880456725353052 -3.17040074655485 2.48523908105186 2.18927010038568 -0.226242186448416 -2.38769922207426 FALSE ""
200 146 42 1.34006309886991 -3.09545879951426 1.86186390905274 3.10217295275363 -7.01545250121352 2.71245538374293 FALSE ""
900 92 43 1.31867094950574 -3.08069475886775 1.89416828684875 1.37273483234316 -1.53186817702578 1.39319946575827 FALSE ""
1000 25 44 1.16193925315319 -2.94728584273885 1.99284782689546 1.58787922452569 -2.51930325526021 1.73989247448344 FALSE ""
100 152 45 1.5442193610093 -3.00521092883299 1.60961836513429 1.17924708016571 -2.62465538082069 2.61702716782546 FALSE ""
300 78 46 1.26908160616263 -3.09061453755328 2.01481202543545 0.397482872150771 -2.43853457565866 2.31069391116531 FALSE ""
500 15 47 1.20610814283693 -3.1006852884513 2.03777714100332 1.48256422019068 -2.26341043391223 0.261291693531316 FALSE ""
50 95 48 0.924585668813317 -3.66344661980542 2.40103261284857 20.323344201735 -27.7332789564906 -10.5165298453487 FALSE ""
1000 39 49 1.14189972442796 -2.98222283725706 2.08463215144783 1.29971284122161 -2.24098176283409 1.43643380663028 FALSE ""
100 154 50 1.06262143799659 -3.0562435367299 2.32252778590833 1.67880634615179 0.572305830608393 -2.72306772612192 FALSE ""
600 163 51 1.22240598346998 -3.0130645633857 1.9818376070538 1.17420514839231 -1.91604096176534 2.24211504513582 FALSE ""
200 27 52 0.914201067230004 -2.91654589756362 2.24724148362103 -0.36886640345536 0.10530992691244 1.53735266478791 FALSE ""
200 32 53 1.00734235849864 -3.08631745084719 2.35727397109916 2.00836407039438 -2.4229895315176 1.30658637351355 FALSE ""
900 5 54 1.17290718642345 -2.86476737973495 2.04648824739467 0.850347998629363 -2.34795406331069 2.34894433780156 FALSE ""
200 8 55 1.28498232841086 -3.15859631632444 1.92304154809176 1.89996276385645 -3.63223817477414 2.36002110430622 FALSE ""
50 88 56 1.12102563237018 -2.29505841526214 1.80681107560454 -3.29709401772951 -1.24625341283287 9.23031039020264 FALSE ""
400 180 57 1.17686467101961 -2.7776537913151 1.98554717620926 1.08862811758729 -2.0745086878906 2.4312589392742 FALSE ""
100 67 58 1.13917707417897 -2.69569586458922 1.88388623724485 4.47656326309391 -6.33043667622052 0.727123846247107 FALSE ""
1000 79 59 1.17727157027478 -3.03653993743353 2.07001406386846 0.334252878604883 -1.96977840423414 2.06573382063342 FALSE ""
1000 23 60 1.33266817831392 -3.16684748782195 1.9117528467878 1.23388665962296 -2.09200225761957 1.96495848667616 FALSE ""
1000 169 61 1.20133954415785 -2.89565994663202 1.98090932002164 1.0457697009744 -1.88660861511793 1.66738953722826 FALSE ""
400 135 62 1.17308526786151 -2.90754901412165 2.00757649618533 1.50478330186432 -3.91624581205904 2.46770987259278 FALSE ""
600 18 63 1.16021263714578 -2.87262934556641 2.03064472632996 1.61441654939511 -3.12626806428033 1.97247181553478 FALSE ""
1000 150 64 1.25733841991985 -3.07648829804927 1.96427541015394 1.46666309823444 -2.21174382966571 1.3854609284121 FALSE ""
200 52 65 1.27093320060754 -3.050192833634 1.9422490831469 0.52288813122954 -2.02385799863373 2.49524704840407 FALSE ""
200 104 66 1.23157003069493 -3.06941384502677 1.93157126383531 1.94784680755506 -2.10164598455672 -0.236193461990415 FALSE ""
500 28 67 1.07950448410095 -2.81137278839699 2.07542100114389 1.56350191981396 -2.14384862288452 1.36199770075477 FALSE ""
800 74 68 1.22902859030711 -3.01963090871083 1.94809262747898 0.537907419501162 -1.37682261726283 1.88005900114563 FALSE ""
1000 138 69 1.18436463168143 -2.93168068221712 2.05214245569475 0.97775936049923 -1.49661810190601 1.48150676796341 FALSE ""
400 120 70 1.20460066797941 -2.9168066611566 2.03320540987648 0.391789000515499 -2.28212345956969 3.1333536266884 FALSE ""
600 40 71 1.17311491501813 -2.94529989527983 2.1142653789789 0.283729163012519 -0.732529923197507 1.87060401183962 FALSE ""
400 183 72 1.097862964927 -2.81890823009575 2.05954678736875 1.7317478815109 -3.43216118892123 1.44319591171096 FALSE ""
50 111 73 1.24131575608113 -3.65009965420336 2.23976419018933 -1.7845144228734 -4.98866330206406 8.99806416649582 FALSE ""
100 70 74 0.905789249265004 -2.79461227761384 2.33069327734894 -1.15856785090065 1.85564656482926 0.533327254994688 FALSE ""
500 124 75 1.20142961551724 -2.81768405846838 1.86649288903409 0.580162682310212 -1.55778875999669 2.42209371231188 FALSE ""
700 117 76 1.1092537505973 -2.95549958788219 2.0963269595502 1.27471949529913 -2.32084646590829 1.99614880479551 FALSE ""
50 31 77 1.29160249616277 -2.89709620346754 1.75489581670268 -0.553307967411428 -0.23051143516118 2.12871318262198 FALSE ""
400 53 78 1.16187445915403 -3.14341381570496 2.1110388900485 1.64375228259114 -2.72416050202388 1.63781531199605 FALSE ""
100 143 79 1.20064952341555 -3.27072961939682 2.14050059604704 2.75864253299959 -5.004958271014 0.600459554723804 FALSE ""
500 87 80 1.1708091410911 -2.84051144848138 1.97436049570488 0.957301383436708 -1.27671961434206 1.24470329448171 FALSE ""
600 156 81 1.31225836607342 -3.08387017426704 1.93331186403731 1.41262387765933 -2.946065691057 1.94847003801744 FALSE ""
700 110 82 1.13290287688462 -2.9019277456014 2.0746042733703 0.69485637071858 -1.36234388796112 1.91557751205735 FALSE ""
100 124 83 1.5283106449452 -2.93774600351363 1.6134612608241 1.01440622868258 -2.47214587846806 1.01625777441908 FALSE ""
1000 97 84 1.25873537857805 -3.00423675132767 1.98706084462916 1.42473067806489 -2.04202939915201 1.42221921114204 FALSE ""
200 182 85 1.15455112114611 -3.05999051628002 2.20455722879426 2.39439150233617 -2.09328895980342 -1.02712296204654 FALSE ""
200 90 86 0.976672440790244 -2.79465391450792 2.27090036211084 0.529649817787634 -2.43000879960155 2.88115855307701 FALSE ""
600 51 87 1.25737876695953 -3.03566133121103 1.97900122631888 1.14057739619332 -2.34117908996199 1.52055151953574 FALSE ""
100 147 88 1.03433883772784 -2.97194463225583 2.01206739375514 0.529874633313385 0.285603476491839 0.755554893563825 FALSE ""
800 10 89 1.23525238414437 -3.06013950239272 1.97499074345753 0.495569174726329 -1.67584652676634 1.68023837141722 FALSE ""
700 144 90 1.19020804777353 -3.02203896968163 2.05311998708374 1.83197936454527 -3.36132445567588 1.17056261101853 FALSE ""
500 74 91 1.23365802232444 -3.10155013848884 1.95381711816414 1.28076118907184 -1.70046890921758 0.66026853124524 FALSE ""
400 82 92 1.23431083501079 -3.04333085988549 1.96088421492239 2.11948612985714 -2.14426895613237 0.420732558695323 FALSE ""
500 155 93 1.31163303116868 -2.94631448759668 1.86375748530717 0.626504012849923 -2.98681031623753 3.08838966452715 FALSE ""
400 26 94 1.12044507584006 -2.80462642664831 2.02873981449719 0.86676659946207 -0.66225506204088 0.619652616933633 FALSE ""
1000 73 95 1.22115194642273 -3.0307593090121 2.04095863366867 1.12490018342928 -1.47611735557949 1.21261320100623 FALSE ""
700 168 96 1.19650157637383 -3.05184164122438 2.03018330925139 1.71819531168991 -2.47628612913585 1.25899240599419 FALSE ""
100 83 97 1.45916161133524 -3.17786606787268 1.78869320567574 -0.836682694966071 -1.62873489929549 4.0541640764248 FALSE ""
200 193 98 1.06523533944247 -2.73891135652307 2.08619709917009 1.99864584065127 -3.13774310720346 1.33252685095928 FALSE ""
300 165 99 1.2338117517836 -2.95928814066749 1.97638085059449 0.797624401522174 -1.86303331460894 1.81112372265392 FALSE ""
900 28 100 1.1880895772284 -2.89340833620357 2.01537347357473 1.23229037522088 -1.44550113836022 1.20111736405217 FALSE ""
