"n" "rep" "id" "b0_mu_hat" "b1_mu_hat" "b2_mu_hat" "g0_si_hat" "g1_si_hat" "g2_si_hat" "error" "errorMessage"
900 143 1 1.18563602558056 -2.94982545282275 2.04612200938381 0.696225407404446 -0.900234048968981 1.60554766950801 FALSE ""
500 305 2 1.24192939324122 -3.07430114076413 2.01692459443248 1.97349743109257 -2.85770189362259 1.1981217318685 FALSE ""
400 315 3 1.05170446329116 -2.82233665558905 2.07777886116869 1.40148975280488 -1.91009795208774 1.42157976768782 FALSE ""
500 390 4 1.32417163112995 -3.1511708308505 1.79063530846903 1.78287100214908 -4.67050857035019 1.88387241255662 FALSE ""
200 392 5 1.25352788644079 -2.85643286555584 1.83580813273738 1.13727584550212 -3.22877115554257 1.7875932029845 FALSE ""
400 206 6 1.05558917567097 -3.06126528296207 2.21802282615807 2.14427046261774 -3.33843471878022 1.2368408180508 FALSE ""
400 356 7 1.33424235785189 -2.91196828057676 1.83091766433077 0.801782399226698 -1.19872161752048 2.16957653153618 FALSE ""
200 138 8 1.26809139927329 -3.08030488039963 1.98348225485635 2.50022360045845 -2.761800411658 0.834445874966748 FALSE ""
800 138 9 1.24405318359677 -2.98629228220398 1.93893098854209 1.72617520499486 -2.8927714775553 1.09794913301528 FALSE ""
50 341 10 0.813751837964139 -2.44893460573679 2.2829738950215 6.55876216459594 -0.852932950667014 -9.04022888481432 FALSE ""
1000 444 11 1.20384283118847 -2.94523717423841 1.9882386240938 1.46559948725074 -2.71305541695467 0.784077748568314 FALSE ""
400 468 12 1.2734129946181 -2.92064361739151 1.90192925131559 0.6273286283142 -1.61883151799707 2.59459177883881 FALSE ""
300 123 13 1.09723087059946 -2.67224100505889 2.00230832478425 2.36424104236758 -3.56193544801938 0.744907244343335 FALSE ""
600 90 14 1.18825575003572 -3.03829200138863 2.0385398419212 -0.351868165956391 -1.08969790449774 2.78097974849728 FALSE ""
300 425 15 1.23286578127041 -2.95725565138411 1.94995580967654 1.19419530706353 -2.33762898167078 1.3386375598723 FALSE ""
500 210 16 1.22436661304566 -3.06235459271905 2.04591436106588 1.0224842164684 -2.5827873050087 2.2482382794734 FALSE ""
300 28 17 1.24335753238572 -2.85501138264663 1.82621327635958 0.936346399671494 -0.15707059906896 1.87107471051147 FALSE ""
100 61 18 1.32067179397308 -3.27176363074964 1.91424819988104 1.11148451967693 -2.96966411097242 4.45383767317891 FALSE ""
600 239 19 1.21202613776868 -2.97764554182533 2.01280615650246 0.0921982433941414 -0.031732595406066 2.2127306680138 FALSE ""
300 426 20 1.24410958883116 -3.13306892834668 1.94204321912583 1.48590885890051 -2.92546287415557 1.64076979814917 FALSE ""
100 165 21 1.11897426935503 -2.8713439269786 1.94104929870884 3.55130535844412 -5.88748292462716 -0.181693516933743 FALSE ""
50 385 22 1.43367899933876 -2.77539525756031 1.62391621744976 1.9388905924288 -1.1571732575483 0.199498637935025 FALSE ""
200 48 23 1.21258650009419 -2.94401979146225 2.07238418591897 -0.493372926686411 -0.762639741663899 4.41298018325285 FALSE ""
500 224 24 1.23074167326478 -2.92416647515734 1.93624428604453 1.8493660742178 -1.73528557398121 0.662652703986378 FALSE ""
1000 128 25 1.19082683305062 -3.08531690178748 2.08426261235597 1.0844256124502 -2.52720755049287 2.15018187714728 FALSE ""
400 244 26 1.21082746035547 -2.82243325481688 1.95954574664981 1.19254583855889 -1.54677860775837 1.49956070410633 FALSE ""
800 294 27 1.19480603328748 -2.98117511372685 2.01013836591424 0.510141574566195 -1.44208443664301 2.04047730885507 FALSE ""
400 231 28 1.27692068245296 -3.25019183818928 2.0092192952602 1.23652024294586 -2.8844316143727 1.91019987164267 FALSE ""
100 297 29 0.981019878078135 -2.31353305491411 2.03556764383202 2.19071035782945 -4.08142748052548 2.85783936344157 FALSE ""
900 441 30 1.13244912905302 -2.82730755976065 2.04851159087608 0.628297762561333 -2.19936790937552 2.80741229449767 FALSE ""
900 267 31 1.2454223889013 -3.11426923488582 1.93811038148679 1.53131501892681 -2.54678281022151 0.602040767567017 FALSE ""
900 499 32 1.25842871482644 -2.97987451824655 1.93211910336211 0.124545489616487 -1.91140062450578 3.08957401308781 FALSE ""
200 373 33 1.03580445711227 -2.91731142873734 2.2597743315771 1.07743337312594 -2.59665048438744 2.71164706740459 FALSE ""
700 446 34 1.24955522483369 -3.1024357892648 1.92771523316218 1.59716809366413 -2.27298120895475 1.64717955031436 FALSE ""
600 277 35 1.17574561820589 -3.01093328964228 2.04186472552571 1.10430605223039 -1.91758279348966 1.44710373091102 FALSE ""
900 4 36 1.19469297694763 -2.87758139978002 2.00276236363685 1.67788521674838 -2.19064751857801 1.32903450516455 FALSE ""
200 242 37 1.34039259530218 -3.05665884162773 1.86736026117282 1.99737309879964 -2.15623568160569 0.248920445279554 FALSE ""
200 278 38 1.23336890355062 -2.91749344286474 1.86674812803764 1.40958703848329 -0.512537795019521 -1.41446689470274 FALSE ""
900 240 39 1.0919212553009 -2.95613689436218 2.15052840846487 0.733659886028427 -1.73946687888586 1.62729662105253 FALSE ""
800 37 40 1.33480746557838 -3.07491656758806 1.87615997237179 1.26178868687909 -2.82611323426684 1.83475948709589 FALSE ""
200 474 41 1.20569366937113 -3.01869934928731 2.04916360299426 1.70594894956463 -2.25796482306917 1.35179716834116 FALSE ""
900 413 42 1.15472714984418 -2.9309953310547 2.02410201945229 1.47747597844 -2.78251573132807 1.74331037534273 FALSE ""
900 400 43 1.24102243633156 -2.96665522442065 1.93966523896506 1.23338944902861 -1.63690517648002 1.40735293332255 FALSE ""
1000 381 44 1.18284339052206 -3.113618335845 2.12885905272075 1.37126827071637 -2.99219676444008 1.74774938819737 FALSE ""
100 456 45 1.40869726948235 -3.11226584574207 1.70091957527388 -1.63878120767629 -0.812256715727917 3.77253731562879 FALSE ""
900 42 46 1.15477883593446 -3.04872789396722 2.09617585618861 1.41427964253992 -2.06575943835823 1.01778995115747 FALSE ""
900 302 47 1.17334419020288 -2.91077571824324 2.03912107021263 1.03006810966111 -2.54483154949887 2.58011654649177 FALSE ""
500 57 48 1.26326069742471 -2.86292795526556 1.85101751574676 0.978925675824538 -2.45063596448266 2.61335330980571 FALSE ""
600 272 49 1.23308542387232 -3.03307053626659 1.96299657091763 1.13429012300129 -0.774412429951615 0.544332345712361 FALSE ""
50 289 50 0.73866165366077 -3.64803481386075 2.88226922984645 1.44793440604876 -7.33366863527247 4.24316975562143 FALSE ""
400 204 51 1.20020263042218 -3.01725829060943 2.07346716662718 1.59539317595511 -0.949288714746381 0.116820719016991 FALSE ""
1000 379 52 1.33703312504563 -2.98934092368563 1.82166281634017 0.682461187419906 -0.755290585371461 1.81777720620621 FALSE ""
1000 412 53 1.24181731710829 -2.90477019378081 1.84823703279486 0.912338090381123 -2.64535915531223 2.58708762164709 FALSE ""
700 484 54 1.18175061391427 -3.00487098096521 2.09802695131249 1.65937129437353 -1.85382985968506 0.736491916000517 FALSE ""
700 9 55 1.2371239590746 -3.09594701726416 1.98429820770555 0.62251500233455 -1.30452826691038 2.09666584358046 FALSE ""
200 7 56 1.32130743020654 -3.06006734549085 1.86330313154859 0.143572528669963 -1.39981723213435 2.00730850626717 FALSE ""
1000 76 57 1.28437727646182 -3.09067707942379 1.94753822722123 1.30933416158474 -1.93273821695423 1.26458154534215 FALSE ""
700 142 58 1.36198144161771 -2.97571290101368 1.83632743988501 0.336226648335451 -2.27731666879293 3.13603811441185 FALSE ""
500 226 59 1.20302864361608 -3.06887705107671 2.02109984208254 0.730744672635652 -1.24739534187006 1.37453889202292 FALSE ""
800 449 60 1.14918239014543 -2.96576971489821 2.04875278783751 1.41326955722115 -2.9067904461838 1.84568063932356 FALSE ""
700 456 61 1.23722398483121 -3.03391667895444 1.93732768541634 1.35459336568891 -2.08720985917609 1.35728769670005 FALSE ""
500 239 62 1.06531052431732 -3.02039860587004 2.12724432467717 1.95821785383103 -2.51209597534353 0.589679803539494 FALSE ""
100 277 63 1.34519029465309 -3.17904320504244 2.04124786244701 0.993248531070401 -3.59554386849092 1.50126948919774 FALSE ""
700 154 64 1.14923941506878 -2.91499098231787 2.072001649625 1.22197966721765 -1.21861644093562 1.03148555233121 FALSE ""
400 429 65 1.20100970929029 -2.99451085750693 1.9862239989758 1.18547917316623 -1.09849802361226 1.07651600229232 FALSE ""
200 49 66 1.13323003709187 -2.90617089898538 1.99558798987059 2.52728845165038 -3.22776762957007 -0.319182191401523 FALSE ""
500 91 67 1.26940090707271 -3.08613173127169 1.91931021253168 1.43590698828759 -1.95368602662267 0.512429459562011 FALSE ""
600 364 68 1.20323955676589 -2.99941775472986 1.99760715003227 1.84769362526115 -3.08309585136312 1.3942116441098 FALSE ""
200 296 69 1.14628526636567 -2.77270846050114 1.93736483902803 2.14802287624532 -3.64243259366752 0.899299907081832 FALSE ""
100 16 70 1.04433801855344 -2.47341527824672 1.89623923852669 2.25871623411623 -4.80172558691241 2.33522276837063 FALSE ""
200 273 71 0.942206483345 -3.12439118745475 2.39586729443551 1.4414265440426 -2.31140952573724 0.666484950310057 FALSE ""
200 303 72 1.28356748294346 -3.06452499797949 2.02931326665037 1.55646076656432 -3.80338542431155 3.27417452506058 FALSE ""
800 17 73 1.15345529595181 -3.08067110964858 2.09608758725289 0.900719323069721 -1.53992642551899 1.39031175518051 FALSE ""
1000 146 74 1.14358062951418 -2.93242789836695 2.06735386955236 1.8452522296339 -2.54687693734354 1.02443378213377 FALSE ""
900 70 75 1.27490936992594 -2.98925832239964 1.93157744155146 1.44137126556301 -2.01668170132607 1.48140388511594 FALSE ""
900 146 76 1.22603453538864 -3.05736451292152 1.97222610880726 1.3963283572925 -1.9885692139107 1.3015860210484 FALSE ""
800 275 77 1.1900610855901 -3.0171788854532 2.01077075954665 1.50602530354908 -2.65485888934777 1.10273465706223 FALSE ""
300 20 78 1.11969151810062 -2.79178584662538 2.04113295280502 1.28224761950952 -2.43976725851233 1.40748834997141 FALSE ""
300 60 79 1.26720012455439 -3.19280054596847 1.94977013750774 0.984785078823163 -2.57600334371492 2.60988042727784 FALSE ""
500 56 80 1.11946514395958 -2.92268851553902 2.05509262163192 1.00845894090004 -0.782321365162884 0.438886004779034 FALSE ""
1000 266 81 1.13504911977539 -2.90442156491641 2.08913010324266 1.97000265187344 -3.00200108995297 1.30361657995573 FALSE ""
900 164 82 1.16135910934914 -3.05369240360547 2.1161524792673 1.09120113381428 -1.51871006353595 1.24102912349421 FALSE ""
300 184 83 1.21369974596732 -2.93822749437197 2.00183052588681 1.38756526986023 -2.55620717533928 2.15404184629404 FALSE ""
200 8 84 1.33686048487375 -2.76617950704179 1.71689690562962 -0.650512484979822 -0.97310237767774 3.10081411611564 FALSE ""
900 204 85 1.24689104726494 -2.9366134880742 1.94742561250708 1.13037488151286 -2.26273421699547 1.47719298199888 FALSE ""
300 122 86 1.19115954568651 -3.04883401608545 2.00201937884507 2.09344941781751 -3.01469338693763 0.611548499110937 FALSE ""
300 461 87 1.06280339582574 -3.06458821845585 2.15578556490742 1.91347822253889 -3.12049071028376 0.522131670234649 FALSE ""
600 413 88 1.28388471078398 -3.08374112613289 1.96424047399346 1.27146509084089 -2.12050002463221 1.69901691725997 FALSE ""
300 183 89 1.28015917052319 -3.06482561883944 1.90317470878807 0.962294595249512 -2.51051137905055 2.56900086392277 FALSE ""
700 102 90 1.17725306681301 -2.98505089132078 2.10813961090434 1.44916498378072 -0.848974366383249 0.0330655155322458 FALSE ""
600 454 91 1.05261588238738 -2.9862592420444 2.19962896192232 1.74152486136074 -2.15061934152568 1.20533005255827 FALSE ""
700 3 92 1.09839253052476 -3.02298238946107 2.11523281941957 1.83118203389242 -2.01778061806837 0.601042482690761 FALSE ""
1000 481 93 1.20549727985772 -2.98036626917496 2.00350718509635 1.05381603512052 -1.77035319047662 1.2678627842227 FALSE ""
200 153 94 0.796854981146553 -2.64049129134137 2.41036160421726 1.20875475426926 -1.50736933081142 1.81826715133987 FALSE ""
400 375 95 1.20459097704638 -2.73100334799084 2.0326791321016 1.6814733123182 -2.34014543189514 1.12763888471773 FALSE ""
400 228 96 1.24662471851971 -3.11773106566704 1.9744477091146 0.922625681808514 -2.30051769849486 2.82690628038345 FALSE ""
500 46 97 1.18812084440183 -3.19132112191596 2.07078753634808 0.505107812888645 -2.20263041891238 3.31302948504886 FALSE ""
50 245 98 1.7446656855139 -2.59944858148961 0.539948397950769 0.139166965638526 5.4183904341848 -2.46384325323488 FALSE ""
1000 432 99 1.28155725655833 -3.04613919389463 1.87444764461552 0.376223681816416 -1.49599540886207 2.35073685545196 FALSE ""
1000 498 100 1.2061209846252 -2.88907271301533 1.97351246050105 1.12950538775902 -2.41592702852115 2.07797689700536 FALSE ""
800 193 101 1.4122683768109 -3.15515263383733 1.74565182052516 1.19279021600524 -1.44899543790816 1.18073790757274 FALSE ""
100 256 102 1.26808408588055 -3.12461594431531 1.94494961239443 -0.708649990610343 -0.804062619832693 2.16634597814412 FALSE ""
800 268 103 1.09597116004463 -2.91815282972614 2.09695110039524 1.39331001379618 -3.49668672317328 2.73654941612402 FALSE ""
700 125 104 1.21669126143057 -3.08523171971877 1.97484361796467 0.628759210400643 -2.15290668389478 2.35187231498089 FALSE ""
700 5 105 1.27672086006962 -3.11599585631624 1.92496570675114 1.35736932597598 -2.29197502835097 1.39600546532262 FALSE ""
