"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 1.5 2000 2 1 2.94506034253881 1.45482162139862 FALSE ""
3 1 5000 88 2 2.9428696137742 0.906016273591988 FALSE ""
7 1.5 2000 125 3 7.40281158878326 1.9296713735662 FALSE ""
3 0.5 2000 105 4 2.97495935151614 0.470456376836753 FALSE ""
7 1.5 5000 86 5 6.97615088537598 1.45303726686022 FALSE ""
7 1 4000 199 6 7.09131290295999 1.11480106326328 FALSE ""
3 0.5 4000 163 7 2.95357201207835 0.475014897018867 FALSE ""
7 1.5 2000 148 8 7.01338916352485 1.60422072597181 FALSE ""
3 1 4000 48 9 2.92567528180988 0.847632401643638 FALSE ""
3 1 5000 171 10 2.93310472165041 0.934948095841258 FALSE ""
3 0.5 5000 63 11 2.91105274653976 0.432398427376475 FALSE ""
3 1.5 5000 9 12 3.06348943846554 1.52921574685168 FALSE ""
7 1 3000 164 13 6.8451389261603 0.860486455552935 FALSE ""
3 0.5 5000 50 14 3.01470676263194 0.522972779214947 FALSE ""
7 1.5 2000 98 15 6.97707466802438 1.55668596090905 FALSE ""
7 0.5 2000 181 16 6.88452007093167 0.392714052361828 FALSE ""
7 1 5000 66 17 7.06712368495245 1.11774916679873 FALSE ""
7 0.5 4000 174 18 6.93141644710664 0.414276951153298 FALSE ""
3 0.5 5000 67 19 3.00401319567294 0.511313631528283 FALSE ""
3 0.5 5000 92 20 2.98672116581839 0.504320144440099 FALSE ""
7 0.5 3000 69 21 7.06023450199518 0.633062368865567 FALSE ""
7 1 4000 97 22 7.19409292689881 1.16454788862623 FALSE ""
7 1.5 5000 109 23 6.94509545433318 1.42934642298909 FALSE ""
3 1 3000 42 24 3.04587559366379 1.02613193219331 FALSE ""
3 0.5 4000 16 25 3.02552091975464 0.566475077544206 FALSE ""
3 0.5 3000 33 26 3.01211143221059 0.489288114716559 FALSE ""
3 0.5 2000 6 27 3.03613374876263 0.44331492241175 FALSE ""
3 1 4000 143 28 3.03952393583207 1.0324407932405 FALSE ""
7 0.5 2000 58 29 7.31758473253827 0.825165940280487 FALSE ""
7 0.5 4000 130 30 7.05755677869146 0.55904843415788 FALSE ""
3 1.5 4000 55 31 2.8918300267767 1.39398087977651 FALSE ""
3 1 3000 155 32 3.10185391231736 1.05156478955271 FALSE ""
3 0.5 2000 52 33 3.02260487139008 0.485803923606588 FALSE ""
3 1.5 5000 79 34 2.96248182226651 1.47219864217993 FALSE ""
3 0.5 4000 13 35 3.01161004091148 0.532495921101798 FALSE ""
3 0.5 2000 156 36 2.8282431701994 0.324715329401314 FALSE ""
7 1.5 2000 102 37 6.88411400574653 1.40604571128219 FALSE ""
3 0.5 2000 151 38 2.89602652804798 0.40666911760845 FALSE ""
3 1.5 4000 16 39 2.99522630480678 1.54476122658163 FALSE ""
7 0.5 5000 138 40 6.96307934365964 0.479972186600669 FALSE ""
3 0.5 5000 16 41 3.08577375733086 0.590237368306548 FALSE ""
7 1 2000 101 42 7.13204524786197 1.1332165741261 FALSE ""
7 1 4000 32 43 7.18546602539015 1.19163377389349 FALSE ""
7 1.5 4000 145 44 6.96592819978247 1.49298065495286 FALSE ""
3 0.5 3000 28 45 2.96934508838961 0.534886598500059 FALSE ""
3 1.5 3000 19 46 3.02858249856989 1.507871026378 FALSE ""
7 0.5 2000 91 47 7.2402884223572 0.790867142300716 FALSE ""
7 1.5 2000 129 48 7.27365757491069 1.78473952895193 FALSE ""
3 1.5 3000 191 49 2.99051015834356 1.48204262649363 FALSE ""
7 1 4000 63 50 6.92579451288043 0.911799774141953 FALSE ""
3 1 2000 17 51 3.19526412438926 1.14637392034933 FALSE ""
3 1.5 3000 130 52 2.96282904828522 1.43851708967218 FALSE ""
7 0.5 3000 131 53 6.72610335880481 0.168581217467839 FALSE ""
3 1.5 2000 146 54 2.93226613238679 1.44962098794396 FALSE ""
7 1 5000 195 55 7.07086813278954 1.10322289797156 FALSE ""
7 1.5 3000 193 56 7.13962159150268 1.57989597135765 FALSE ""
3 1.5 4000 57 57 3.00781112079965 1.51392289147944 FALSE ""
7 1 2000 134 58 7.12068197261186 1.09472756097403 FALSE ""
3 1.5 2000 7 59 3.22243399748925 1.7378132390518 FALSE ""
3 1 5000 130 60 3.02624317563595 0.988574265081117 FALSE ""
3 1.5 2000 176 61 2.97566232243013 1.46175780134508 FALSE ""
3 1.5 5000 8 62 2.97851404907871 1.46482642487053 FALSE ""
7 1.5 3000 148 63 7.01707939913566 1.46866218600208 FALSE ""
7 0.5 4000 142 64 7.0011744977636 0.455446989776687 FALSE ""
3 0.5 5000 121 65 3.02120631567131 0.499309514983463 FALSE ""
7 1 3000 120 66 7.02598931782481 1.0104437296389 FALSE ""
7 0.5 5000 89 67 6.86536310942203 0.432919268954861 FALSE ""
3 0.5 2000 78 68 3.10238100972007 0.565184448826966 FALSE ""
3 0.5 2000 173 69 3.13506110455495 0.645563561568688 FALSE ""
7 1 2000 45 70 7.27835826976603 1.20555142954321 FALSE ""
3 1.5 5000 133 71 2.92232589758109 1.40393307729457 FALSE ""
3 1 2000 13 72 3.00579836485799 1.02928733232629 FALSE ""
3 0.5 5000 126 73 2.98230230752672 0.46700910034736 FALSE ""
3 1.5 4000 75 74 2.95293654866726 1.45485321790093 FALSE ""
3 1.5 4000 149 75 3.02601989838701 1.48366734995086 FALSE ""
3 1 4000 78 76 3.03423516390087 1.01686785551635 FALSE ""
7 1.5 3000 46 77 6.89862882103732 1.43771244537944 FALSE ""
7 0.5 4000 167 78 6.98362822383824 0.531819003774502 FALSE ""
3 1 4000 4 79 2.94980346151732 0.962800842074373 FALSE ""
7 1.5 3000 143 80 6.9036907540501 1.36633492951096 FALSE ""
7 1.5 3000 97 81 7.31932409190549 1.78916271253928 FALSE ""
3 1 3000 102 82 3.10864393517353 1.11019593218737 FALSE ""
3 1.5 5000 122 83 2.93554234226098 1.42110325342357 FALSE ""
7 1.5 5000 133 84 7.11197112452947 1.63206765084188 FALSE ""
3 1 3000 111 85 3.03078962966688 1.05848916782444 FALSE ""
7 1 2000 59 86 6.73248253772985 0.788748217475176 FALSE ""
3 0.5 4000 19 87 2.92207302531272 0.455829258556295 FALSE ""
3 1.5 4000 171 88 3.12091461463227 1.58278589917757 FALSE ""
7 1 5000 114 89 7.09012864735329 1.07815367123089 FALSE ""
7 1 2000 23 90 6.94589115567969 0.923219631967219 FALSE ""
3 1 3000 8 91 2.85891901201495 0.883770274040287 FALSE ""
7 0.5 5000 29 92 7.03636393114299 0.587040120540793 FALSE ""
3 1 2000 8 93 2.95916320135203 0.928756017132021 FALSE ""
3 1.5 3000 66 94 2.96553939004833 1.49559480781945 FALSE ""
7 0.5 2000 149 95 6.64293276933522 0.179795531417299 FALSE ""
3 1.5 5000 112 96 2.92282782211218 1.42029197628778 FALSE ""
3 0.5 5000 116 97 3.00234418748 0.484602531660391 FALSE ""
3 1 3000 73 98 3.07916372286749 1.05893955761329 FALSE ""
7 1.5 3000 110 99 7.06387410950739 1.64249797283631 FALSE ""
3 1 2000 186 100 2.84179322815847 0.84638422977443 FALSE ""
7 1.5 5000 118 101 7.14891981920463 1.63692556459262 FALSE ""
7 1 5000 177 102 6.8550458264157 0.860873569195867 FALSE ""
3 0.5 5000 151 103 3.01298290992418 0.498546416582949 FALSE ""
7 0.5 3000 63 104 7.05278502528362 0.549176653134216 FALSE ""
3 1.5 5000 62 105 2.82892594918577 1.30584270660142 FALSE ""
3 1 3000 52 106 2.96903296439735 0.927116290407601 FALSE ""
3 1.5 5000 109 107 3.02749012428783 1.53886642135979 FALSE ""
7 1.5 4000 63 108 6.92171967112241 1.37183595752768 FALSE ""
3 0.5 5000 87 109 2.96879190584407 0.451620938904607 FALSE ""
7 0.5 3000 163 110 7.07405512697465 0.511910188241291 FALSE ""
3 1 3000 185 111 2.94279605013789 0.909355114928648 FALSE ""
7 1 5000 199 112 6.90583885641364 0.926670554752438 FALSE ""
7 0.5 2000 124 113 6.97848855298748 0.445284438365852 FALSE ""
3 1 3000 149 114 3.10180362149787 1.10803380840108 FALSE ""
7 1 3000 180 115 6.89904675085372 0.851415068900567 FALSE ""
7 1 3000 181 116 6.71208216342728 0.727283325127035 FALSE ""
3 1 5000 129 117 3.02524416117453 1.01555435816706 FALSE ""
3 0.5 2000 16 118 3.02650524778233 0.557358693757693 FALSE ""
7 0.5 4000 54 119 7.09929573906666 0.546502261193401 FALSE ""
7 1 2000 187 120 6.98801905655354 1.00351481148505 FALSE ""
3 0.5 2000 188 121 2.94701866752049 0.466837426133031 FALSE ""
7 1 3000 129 122 6.69563117753774 0.671718482712713 FALSE ""
7 1.5 4000 150 123 6.81294317156414 1.34997636819169 FALSE ""
3 1 2000 163 124 3.12484037918275 1.1792127581344 FALSE ""
7 1 3000 106 125 6.74105097696013 0.804211324049068 FALSE ""
3 0.5 4000 60 126 3.07284425319805 0.509521989856954 FALSE ""
3 0.5 3000 89 127 2.96464305605985 0.459046069334124 FALSE ""
3 1.5 4000 61 128 3.07556938757773 1.56684436072712 FALSE ""
3 1 5000 87 129 2.86026751967641 0.902496019742874 FALSE ""
3 0.5 3000 57 130 2.96230290328524 0.494221144042861 FALSE ""
3 1.5 2000 145 131 2.90199169662057 1.4066188932855 FALSE ""
7 1.5 3000 111 132 7.10494264381244 1.60426335474023 FALSE ""
7 1 2000 131 133 6.91671438860816 0.960950294410701 FALSE ""
7 1.5 2000 153 134 6.90802561555101 1.49235316533523 FALSE ""
7 0.5 2000 7 135 6.92590736264076 0.445795043349886 FALSE ""
3 1 4000 42 136 2.91943560832567 0.908797480122927 FALSE ""
3 1 5000 38 137 3.05156111431115 1.07076228662604 FALSE ""
3 1 3000 191 138 3.07702172229377 1.03891232693281 FALSE ""
7 0.5 5000 178 139 6.91645775814199 0.444914180784929 FALSE ""
3 1.5 4000 191 140 3.05417818704229 1.53051579270003 FALSE ""
7 1 3000 102 141 6.98999462255957 1.05910239478797 FALSE ""
7 0.5 4000 99 142 6.75987663275868 0.251911612612081 FALSE ""
3 0.5 2000 47 143 3.1921708590099 0.654620501060709 FALSE ""
3 1.5 5000 48 144 3.22290910689151 1.76704740747728 FALSE ""
7 0.5 3000 47 145 7.037316099466 0.638021100905784 FALSE ""
3 1 3000 28 146 2.92651937398181 0.963312615879293 FALSE ""
3 0.5 5000 7 147 2.91569461723796 0.424902036566128 FALSE ""
3 0.5 2000 37 148 2.99294228579256 0.503396332291255 FALSE ""
7 1 2000 28 149 7.03780547466574 1.01029983250216 FALSE ""
3 1 4000 169 150 3.1006456962885 1.16018084567091 FALSE ""
7 1.5 4000 117 151 7.21921697502152 1.68875745536409 FALSE ""
3 0.5 2000 62 152 3.0435756396803 0.559884205332519 FALSE ""
7 0.5 2000 44 153 7.0211318779519 0.60669695229676 FALSE ""
7 0.5 2000 2 154 7.1880486016086 0.565337442904012 FALSE ""
3 0.5 5000 31 155 3.07452998284419 0.564640110544118 FALSE ""
7 1 4000 186 156 6.8211312735864 0.80009144848881 FALSE ""
3 1 4000 86 157 2.93321277397606 0.932755473368398 FALSE ""
3 1 2000 145 158 3.08784448323 1.16138270608589 FALSE ""
7 1 4000 115 159 7.45119915600964 1.37103487950874 FALSE ""
7 0.5 2000 89 160 7.18583208295224 0.712929364631434 FALSE ""
7 1 3000 193 161 6.73937995294203 0.777246400538106 FALSE ""
3 0.5 5000 39 162 2.97552536245237 0.459032531622607 FALSE ""
7 1 3000 61 163 6.80311291173364 0.803897301380834 FALSE ""
3 1.5 4000 167 164 2.95724605303789 1.46733878060489 FALSE ""
3 0.5 5000 97 165 3.07487322482705 0.550489664461828 FALSE ""
7 0.5 3000 5 166 6.74953342961733 0.299625570876219 FALSE ""
7 1 3000 191 167 6.75837662870616 0.817225275627758 FALSE ""
3 0.5 3000 142 168 2.9970290822511 0.492744428948097 FALSE ""
3 1.5 2000 85 169 3.08818713646092 1.61085081294882 FALSE ""
3 0.5 4000 182 170 3.03569186000482 0.549814407167545 FALSE ""
7 1 2000 186 171 7.21379835506694 1.20781856001686 FALSE ""
7 0.5 4000 57 172 6.95094518722205 0.488158442063218 FALSE ""
7 0.5 5000 120 173 7.1824136861279 0.683907373890955 FALSE ""
7 1 4000 137 174 6.94705213980618 0.893932349384911 FALSE ""
7 1 4000 15 175 7.15002976256016 1.12912114638334 FALSE ""
7 1 3000 48 176 7.03900856244964 1.10457880870794 FALSE ""
3 0.5 3000 137 177 3.04972871249365 0.492020887428633 FALSE ""
7 1 5000 98 178 6.76927559439073 0.831814518502582 FALSE ""
7 1 2000 126 179 7.04288619007081 1.06407291298268 FALSE ""
7 1 2000 141 180 7.037999998899 1.06041545546925 FALSE ""
7 1 5000 20 181 7.12264655066049 1.07719782072661 FALSE ""
7 0.5 2000 26 182 7.07428336726932 0.50245037616619 FALSE ""
3 1 3000 54 183 2.88861159677271 0.933266998008214 FALSE ""
7 1.5 3000 102 184 6.94515901139176 1.47536248583079 FALSE ""
3 0.5 5000 56 185 3.03198047262875 0.569474995679605 FALSE ""
7 0.5 2000 64 186 7.18304498646564 0.717359768967558 FALSE ""
3 1.5 4000 94 187 2.99397532489556 1.4975243255077 FALSE ""
3 0.5 5000 143 188 3.03273549660447 0.526850236864142 FALSE ""
3 1 4000 18 189 2.9991672454882 0.996604510681223 FALSE ""
7 1 4000 17 190 7.01832096253474 1.02690874979975 FALSE ""
7 0.5 3000 137 191 6.92255665034391 0.434231087525011 FALSE ""
3 0.5 5000 61 192 3.04467145036206 0.566365619646016 FALSE ""
3 1 5000 93 193 2.983146196803 0.968463810944289 FALSE ""
3 1.5 3000 133 194 3.14998496428164 1.60417449930474 FALSE ""
7 1 3000 98 195 7.15294503359376 1.16670721612993 FALSE ""
7 1 3000 81 196 6.95200353699658 0.994415988666363 FALSE ""
3 0.5 3000 81 197 2.97800956361843 0.472877688070668 FALSE ""
3 0.5 3000 195 198 3.10439134138091 0.60827737581275 FALSE ""
3 1.5 5000 188 199 2.94698569186623 1.46239750283508 FALSE ""
3 1.5 5000 82 200 3.04767176210585 1.53162494792969 FALSE ""
7 1.5 3000 188 201 7.30742914122857 1.80001629213986 FALSE ""
7 1.5 4000 32 202 6.8622354504667 1.41180895640135 FALSE ""
7 1 5000 183 203 6.97624303565859 1.00252901715933 FALSE ""
3 1.5 5000 155 204 3.21495735772497 1.74181804935964 FALSE ""
7 1.5 5000 75 205 6.79608903350038 1.32825552073533 FALSE ""
3 1 3000 128 206 3.11128342338825 1.11336065490268 FALSE ""
7 0.5 3000 135 207 7.05198265266624 0.615739731663029 FALSE ""
7 1 4000 67 208 7.11928426186717 1.07071203697987 FALSE ""
7 1.5 3000 60 209 7.07364411700237 1.57095316153689 FALSE ""
7 1 2000 166 210 6.89264400611068 0.941025671392143 FALSE ""
7 1 4000 38 211 6.9738490026606 1.00554394127796 FALSE ""
3 1 4000 54 212 2.99309137967815 1.0108981861697 FALSE ""
7 0.5 2000 30 213 6.92243166106828 0.515199495126348 FALSE ""
7 1 5000 78 214 7.07644456618461 1.09182190804047 FALSE ""
7 0.5 5000 40 215 6.89608459730279 0.388283504072277 FALSE ""
7 0.5 3000 188 216 7.10923188114921 0.612291827663099 FALSE ""
3 1 2000 125 217 2.95089686762764 0.974538829671549 FALSE ""
3 1.5 5000 81 218 2.89966782495266 1.36054938203412 FALSE ""
3 0.5 2000 13 219 3.1466188655737 0.669587319155279 FALSE ""
3 1 5000 94 220 3.05869560418642 1.05331440134173 FALSE ""
3 1 5000 150 221 2.9954963299303 0.989840042880679 FALSE ""
7 0.5 5000 53 222 6.89652828960707 0.421430742865965 FALSE ""
7 1 3000 139 223 6.81500934640553 0.911172369293081 FALSE ""
7 1 2000 92 224 6.91775185410839 1.00420571830005 FALSE ""
3 1 4000 32 225 3.07344510509176 1.12376848439417 FALSE ""
3 1.5 2000 124 226 3.10332995349752 1.57364615329422 FALSE ""
3 1.5 4000 65 227 2.93060927018376 1.4231955378713 FALSE ""
3 1.5 4000 118 228 3.0700145064246 1.58071029352399 FALSE ""
7 1.5 4000 22 229 7.12895353942344 1.64306026974038 FALSE ""
3 0.5 2000 15 230 3.00217894476323 0.524296366793834 FALSE ""
7 1 3000 93 231 7.04518380716299 1.0274057538864 FALSE ""
7 1 5000 130 232 7.19625424807282 1.25961191023942 FALSE ""
