"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 1.5 300 9 1 2.42721337682486 0.975081624654671 FALSE ""
7 0.5 500 3 2 7.00432331855257 0.51005171190304 FALSE ""
7 1 800 7 3 6.51372039759546 0.584661400226134 FALSE ""
3 0.5 100 1 4 2.95045611435901 0.422655414303813 FALSE ""
3 1.5 200 2 5 2.84204904353312 1.33901836627626 FALSE ""
7 0.5 600 6 6 7.13029428380609 0.67866895033795 FALSE ""
7 1.5 900 3 7 7.37478140824979 2.07931083159931 FALSE ""
7 0.5 800 2 8 7.14124951395095 0.562307884496377 FALSE ""
3 1 500 1 9 3.05450362424661 0.996368449696416 FALSE ""
7 1.5 100 8 10 6.96279792194662 1.44398455729757 FALSE ""
7 1.5 900 7 11 6.70863238611069 1.32485236539471 FALSE ""
3 1.5 500 7 12 3.05082122850855 1.56168708899368 FALSE ""
3 0.5 100 8 13 3.37035835858618 0.534881210036011 FALSE ""
7 0.5 500 2 14 6.36802706753527 5.85494330436371e-79 FALSE ""
3 0.5 1000 2 15 2.93661094605968 0.418952659635457 FALSE ""
7 1.5 500 7 16 7.11359946867663 1.74231708453256 FALSE ""
7 0.5 700 1 17 6.67795796491153 0.220499065694009 FALSE ""
3 1.5 400 9 18 2.51779823062596 1.01114545386079 FALSE ""
3 0.5 600 4 19 3.02974812213011 0.539874501705296 FALSE ""
3 0.5 900 5 20 3.21475652475118 0.698223343625545 FALSE ""
3 1 400 3 21 2.73168311916765 0.700641963271354 FALSE ""
3 1.5 600 6 22 3.46500997668999 1.91058532483935 FALSE ""
3 1 800 9 23 3.10115469390301 1.10690808130602 FALSE ""
7 0.5 200 1 24 7.77207880987496 1.33724254240296 FALSE ""
3 0.5 600 10 25 3.17740659079353 0.489145712706517 FALSE ""
3 1.5 800 5 26 3.28957672750117 1.74305958679323 FALSE ""
3 1.5 600 5 27 3.13814682003469 1.72357115758042 FALSE ""
7 1.5 900 6 28 7.27786415578366 1.63487424299623 FALSE ""
3 1 900 2 29 2.82354538746751 0.774684214366158 FALSE ""
3 0.5 700 5 30 2.79227193294856 0.355710778432413 FALSE ""
3 1 200 8 31 2.94686838658631 1.00720190913547 FALSE ""
7 1 900 7 32 7.13294651686119 1.19894644935169 FALSE ""
7 0.5 400 5 33 6.69385898262935 0.216163110774158 FALSE ""
7 0.5 500 6 34 6.93932318462866 0.495015146431787 FALSE ""
3 1.5 900 7 35 2.82341351149809 1.41700221663833 FALSE ""
3 0.5 500 7 36 3.31610603911511 0.740444191730533 FALSE ""
7 1.5 800 2 37 7.002962279676 1.47918271668359 FALSE ""
3 1 800 3 38 2.92412416647786 0.842757604107549 FALSE ""
7 0.5 300 10 39 7.13480248153368 0.701432911470167 FALSE ""
3 0.5 600 2 40 3.00874614746585 0.509026448576641 FALSE ""
7 1.5 300 2 41 7.3583872808474 1.52607825592621 FALSE ""
7 1.5 700 7 42 7.29249643287456 1.86295162374063 FALSE ""
3 1.5 100 10 43 2.79062827230511 1.3798758008967 FALSE ""
7 1.5 500 1 44 7.74095877823494 2.03243498125412 FALSE ""
3 1 200 4 45 2.40593832576842 0.484925372485729 FALSE ""
3 0.5 800 5 46 2.79195904825496 0.308474339379327 FALSE ""
7 1.5 400 9 47 6.56192723704572 1.12727412862587 FALSE ""
3 1 400 1 48 2.98918602789885 1.07843097873994 FALSE ""
3 0.5 300 7 49 3.01810033035645 0.496960201386288 FALSE ""
7 0.5 300 3 50 6.45345330204118 4.54769383024814e-23 FALSE ""
3 0.5 600 6 51 2.8590455185614 0.266576553081835 FALSE ""
3 0.5 800 8 52 3.02057424010351 0.627221654293315 FALSE ""
7 1 100 9 53 7.39354589533343 1.14378067817753 FALSE ""
7 0.5 400 7 54 7.11369619786119 0.69844315907302 FALSE ""
7 1 900 10 55 7.17487944503274 1.20151963036006 FALSE ""
3 1 300 2 56 2.90754248037126 1.15494643485824 FALSE ""
7 0.5 1000 7 57 7.55999146070488 1.01679648359894 FALSE ""
7 1 700 8 58 6.86832747467103 0.86836743995144 FALSE ""
3 1 1000 8 59 2.95122018838027 1.00439431104751 FALSE ""
3 0.5 700 4 60 3.08141727809784 0.596433251336446 FALSE ""
7 1.5 400 8 61 7.18079113772032 1.710897748971 FALSE ""
3 0.5 300 2 62 3.0741548992064 0.496921187723456 FALSE ""
3 0.5 400 2 63 3.1901345924895 0.508633312498571 FALSE ""
7 0.5 800 10 64 6.68519464100043 0.302361861123207 FALSE ""
3 0.5 500 1 65 2.95889681182597 0.417612374861619 FALSE ""
7 0.5 800 7 66 6.60198004191721 0.0906747855414542 FALSE ""
7 1 300 4 67 7.39916252977741 1.36337339114305 FALSE ""
7 1 1000 10 68 7.17162085377153 1.14289393509979 FALSE ""
7 1.5 500 8 69 6.66030224572317 1.33698958396699 FALSE ""
3 1 400 6 70 3.32992637142453 1.39029461574737 FALSE ""
7 0.5 700 6 71 7.51441485797187 0.754236677516299 FALSE ""
7 1.5 100 1 72 6.36109567483104 0.810797833845012 FALSE ""
7 1 900 2 73 6.54015978500286 0.577695847972079 FALSE ""
3 1.5 500 10 74 2.71065422886407 1.18476448565727 FALSE ""
7 1.5 400 10 75 6.99642684507281 1.3800375416794 FALSE ""
7 0.5 300 9 76 7.07653577220046 0.719548794561825 FALSE ""
3 1.5 200 4 77 2.62422947260453 1.21535434467603 FALSE ""
7 0.5 800 8 78 7.13418719302782 0.671713544610768 FALSE ""
7 0.5 100 5 79 6.50027036308882 3.51645752294139e-27 FALSE ""
3 1.5 300 4 80 3.87301419013163 2.50214707098067 FALSE ""
3 1.5 1000 6 81 3.06122270489262 1.63013623792926 FALSE ""
7 1.5 1000 4 82 7.03441127292063 1.56533785195416 FALSE ""
7 1.5 500 2 83 6.99749524536702 1.35387496563759 FALSE ""
7 0.5 900 3 84 6.71198686253666 0.247605052760678 FALSE ""
7 1 400 1 85 6.91717547684244 0.919262847452144 FALSE ""
7 1 1000 6 86 7.13155500450452 1.05325351986766 FALSE ""
3 0.5 400 8 87 2.83856798085311 0.225937977663546 FALSE ""
