"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
3 0.5 4000 2 1 2.997928486709 0.473906168442311 FALSE ""
3 0.5 3000 99 2 3.02922562223774 0.529099641140143 FALSE ""
3 1 3000 100 3 2.92679476970545 0.959882447533762 FALSE ""
3 1 5000 95 4 2.9183229722314 0.926264369908244 FALSE ""
7 1 5000 43 5 7.26925529568556 1.32342508154027 FALSE ""
3 0.5 3000 21 6 2.93145606346848 0.450826859782275 FALSE ""
7 1 3000 97 7 7.0379559224406 1.09919707838154 FALSE ""
7 0.5 5000 27 8 7.0156940791586 0.457695912879501 FALSE ""
7 0.5 5000 11 9 7.12898278506041 0.551892744170435 FALSE ""
3 1 4000 14 10 2.95889883436219 0.926787050476514 FALSE ""
7 1 2000 91 11 7.08633630085322 1.10829297250194 FALSE ""
3 1.5 3000 86 12 2.9950075917136 1.46187989077083 FALSE ""
7 1 4000 61 13 6.97053201730049 0.996377702901645 FALSE ""
7 1 5000 51 14 6.73686346630898 0.742205919638055 FALSE ""
7 1.5 4000 38 15 6.74213788253887 1.28423739732661 FALSE ""
7 1.5 3000 19 16 7.04202543967859 1.46156314691625 FALSE ""
7 1 3000 94 17 6.94584179765489 0.936271292576953 FALSE ""
3 0.5 2000 40 18 2.98965754644008 0.531227635922612 FALSE ""
3 0.5 2000 42 19 2.96334686794927 0.509912091700263 FALSE ""
7 0.5 5000 64 20 7.06545757317689 0.495623243661953 FALSE ""
3 1.5 4000 18 21 3.0971087146449 1.62344597815621 FALSE ""
3 1 3000 16 22 2.96119571000797 0.93582949583012 FALSE ""
3 0.5 2000 77 23 3.01943814043954 0.501566685439189 FALSE ""
3 1 5000 76 24 2.90106908781442 0.927908075794851 FALSE ""
7 1.5 4000 44 25 7.14401356325682 1.64570203926103 FALSE ""
3 1 3000 30 26 2.79428067724356 0.79147829333052 FALSE ""
7 1 5000 56 27 7.41488422524359 1.35535991762903 FALSE ""
3 1.5 5000 77 28 3.07067113878102 1.54680478174724 FALSE ""
3 1.5 4000 50 29 3.08246389192922 1.58454174593065 FALSE ""
7 1 5000 90 30 6.78426141259315 0.786377107002715 FALSE ""
7 0.5 5000 78 31 7.10158835384787 0.613080116682641 FALSE ""
7 1.5 3000 85 32 6.74499534470948 1.23165879355298 FALSE ""
7 1.5 4000 66 33 6.9528269331443 1.48863648965914 FALSE ""
3 0.5 4000 78 34 2.97697552282202 0.475735448500529 FALSE ""
7 1 5000 27 35 7.04332727798423 1.10906431265592 FALSE ""
3 1.5 2000 70 36 3.04736022132082 1.48624424501443 FALSE ""
7 1 3000 37 37 7.00852401631316 1.03054884797791 FALSE ""
7 1 5000 21 38 7.1176362073747 1.18724778213464 FALSE ""
7 1.5 5000 78 39 7.14262538771593 1.62871144709321 FALSE ""
3 1 4000 39 40 2.97090024989309 0.953240023880721 FALSE ""
3 0.5 4000 26 41 2.98030995454184 0.469671407120991 FALSE ""
3 1 4000 79 42 3.14166495995944 1.15232457194995 FALSE ""
7 0.5 3000 61 43 7.07432847992885 0.499196091205354 FALSE ""
3 0.5 5000 30 44 3.01422777296774 0.520176312042347 FALSE ""
7 0.5 4000 56 45 7.03153916208027 0.543330650354456 FALSE ""
7 0.5 3000 35 46 6.88421064825663 0.360975947247457 FALSE ""
3 1 4000 17 47 3.08915023723317 1.07701678141471 FALSE ""
7 0.5 4000 82 48 7.01074011931319 0.473419101727778 FALSE ""
7 1.5 4000 92 49 7.01591281363421 1.51580067054255 FALSE ""
3 1.5 2000 53 50 2.83536429130056 1.42014628521346 FALSE ""
