"n" "rep" "id" "b0_mu_hat" "b1_mu_hat" "b2_mu_hat" "g0_si_hat" "g1_si_hat" "g2_si_hat" "error" "errorMessage"
300 77 1 1.31040021875746 -2.99225295947775 1.84431350033739 2.0964308294378 -3.5076752201365 1.08484919319226 FALSE ""
900 29 2 1.22388097471975 -2.97234488102257 1.97179930982012 1.13310093980068 -1.64569570734507 1.57828697018288 FALSE ""
300 69 3 1.05709020940998 -2.82500034177473 2.20963499011557 1.09088942452082 -1.33281093401201 1.30116372011823 FALSE ""
500 29 4 1.31000394054107 -3.01132064831866 1.9096633860615 1.3046616664014 -3.09015059269336 1.96417448959523 FALSE ""
50 33 5 0.844570968458613 -2.78944097264942 2.47800976137346 2.87415429925726 -5.88955705524945 0.969415013068898 FALSE ""
800 30 6 1.30778900541938 -3.03676989562281 1.88820458238266 1.23102484283097 -2.55169764513117 1.66318441588575 FALSE ""
50 16 7 0.757863302260229 -3.04358393301412 2.50089921710263 2.13058225135168 -0.511522032218588 1.21502797883966 FALSE ""
50 83 8 0.824578325472485 -2.55169964452955 2.33554015240022 2.42423185183265 -2.43476190214143 -0.432254619797027 FALSE ""
100 4 9 1.1410618873159 -3.1844455145996 2.24216819340012 3.05986099901968 -2.92371904054762 -1.23823025528372 FALSE ""
600 74 10 1.33958663373787 -2.9932352355906 1.86181827861443 0.682364516809214 -2.15412597734963 2.61528024197304 FALSE ""
300 64 11 1.49703106583048 -2.97865785736474 1.57800408157363 0.147213456383817 -1.4660243405047 3.1380024012448 FALSE ""
300 84 12 1.05659462651126 -3.0518989234845 2.24107847471774 1.68709162683169 -1.65088688374871 0.914980773527912 FALSE ""
200 63 13 0.981279048380351 -3.07983286038783 2.29902954668412 3.4620924730944 -3.43071619318901 -0.534326609383671 FALSE ""
800 75 14 1.24408780563749 -3.05472800165055 2.00334859641864 1.49589224725651 -1.71969297456204 1.24171304398984 FALSE ""
200 41 15 1.07152879805789 -2.89977452397527 2.07151235524645 0.857543095761488 -0.115451056184323 0.778685496770949 FALSE ""
100 69 16 1.40746641096319 -2.77931348675216 1.71385227850304 2.69486317935066 -3.85693182861062 -0.340486464450868 FALSE ""
400 81 17 1.35929487863456 -3.01217990173654 1.83264382477289 0.621905013469993 -1.80922605479906 2.36642161174281 FALSE ""
900 60 18 1.2829316414141 -3.02748953444611 1.90108028464089 1.64271128112467 -1.81686326453119 0.605636260270768 FALSE ""
1000 69 19 1.30361336361985 -2.97989938627446 1.89878191735752 1.23421127367974 -2.01493745503465 1.19718832222121 FALSE ""
900 52 20 1.12654492726276 -2.98592850637086 2.11844835989552 1.75655816406639 -3.62830550713541 1.58371891385052 FALSE ""
1000 38 21 1.19855981989375 -3.03941189199444 2.01459672950575 0.613192381920972 -1.53229335993988 1.77171190700059 FALSE ""
800 42 22 1.17086277120941 -2.93180442544743 2.02470318041657 1.29037917000707 -2.3663937071233 2.04945554437406 FALSE ""
700 40 23 1.20014501049987 -2.8209733737932 1.98307401751202 1.01313412375496 -1.61896696769782 1.90422950488227 FALSE ""
300 17 24 1.32066296384536 -3.11696976143739 1.8676147260198 0.791528800088882 -1.15352489573317 1.96979222789283 FALSE ""
200 2 25 1.29774781406335 -3.24669106382136 1.92071144693851 -0.298832848172298 -0.278570331783369 3.08103013722491 FALSE ""
600 1 26 1.36479104847987 -3.0649985944242 1.84573755006298 1.56314576223614 -3.39198420795255 2.33459565511817 FALSE ""
400 61 27 1.18037317266213 -3.09535181059453 2.06100745607875 1.11483335709232 -1.88606885335855 1.5102957395471 FALSE ""
1000 83 28 1.12448048243961 -2.87516870046489 2.02366066948284 2.32686532253874 -2.65004317454124 0.410478791483154 FALSE ""
200 20 29 1.29861961420054 -2.94108428155973 1.78770191449904 -0.404082650324169 -1.67168617777649 4.08417711137944 FALSE ""
300 60 30 1.20135224899647 -2.93691690832027 1.89465100056241 2.1256908115789 -2.82355667907353 0.14792663292734 FALSE ""
500 20 31 1.27218014210244 -2.99621018162561 1.89257751859705 1.01853571837096 -1.57166077631801 1.3223735509364 FALSE ""
400 17 32 1.22112027848412 -3.09761321490745 2.01275966363137 1.42333730506951 -3.33098224839441 1.52363310642206 FALSE ""
600 3 33 1.2641468979587 -2.91747049002172 1.89749678598645 1.3627897486577 -1.54115385534964 0.868130676733405 FALSE ""
400 53 34 1.18665053719462 -3.03185719045016 2.01201443910324 1.09717601595923 -2.79485879483707 2.19252609709011 FALSE ""
200 31 35 1.36258404463288 -3.33648633657893 2.03557373612405 1.5615593646602 -2.25426988820753 1.21378924472425 FALSE ""
900 22 36 1.16509367844001 -2.82305104788643 2.01380161453527 2.35838248121303 -2.56144331005571 0.262325896516291 FALSE ""
600 59 37 1.28250760666529 -3.21571151465342 2.01890103237729 0.754595700046904 -2.65974946950786 2.47735149386845 FALSE ""
600 20 38 1.21112114901398 -2.95274752898304 1.95033715012015 0.751790867198023 -1.61569195170861 1.80430486387135 FALSE ""
500 9 39 1.12506636059496 -2.83117010854938 2.08204310610043 2.37401053070886 -3.04902366960233 0.0848472168213115 FALSE ""
600 67 40 1.19781659978758 -2.91096835192702 2.00909083584263 1.28445402734443 -2.53351180763026 1.72566157267198 FALSE ""
300 20 41 1.30402248491467 -2.83161209434225 1.83474091958028 1.35073790036083 -2.23942331042981 1.92944186343401 FALSE ""
900 48 42 1.11555787425547 -2.90541511592905 2.1064201732529 1.54816882009628 -2.72201617167916 1.41050991540012 FALSE ""
50 73 43 1.48810535761421 -2.90048356005363 1.51651351551258 -5.16493121112509 3.24447047970273 9.6322221197594 FALSE ""
600 31 44 1.22798012325438 -2.95075103708953 1.98156856522687 1.11703300878399 -1.59549456708395 1.95750512652185 FALSE ""
1000 90 45 1.27498826275683 -3.13042055140781 1.96493653246626 0.844484017442834 -1.21475620824381 1.26717941718085 FALSE ""
200 35 46 1.34423933728888 -3.16808549932012 1.91662019104793 1.26445001773572 -0.105616230178426 0.412193925853077 FALSE ""
1000 21 47 1.25052176822572 -3.12118654226659 2.01250464649797 1.12552485930908 -2.15408989931567 1.36147865563465 FALSE ""
500 24 48 1.22399236270182 -3.09662457173501 1.98616803554784 0.542101141707889 -0.352064202941892 0.514830258105871 FALSE ""
100 83 49 1.02322475416069 -3.00538860323228 2.35694669855444 0.609238747728757 -2.80257475020403 3.19951584934585 FALSE ""
500 50 50 1.10490821096273 -2.81984156288279 2.1380506973143 1.65759224710913 -2.43869749425838 1.72596119595043 FALSE ""
500 6 51 1.17750100066669 -2.70994029128904 1.91430456645505 1.51455860953791 -3.99133510007541 1.77362530787609 FALSE ""
400 37 52 1.2383379564356 -2.88249424988066 1.889435874041 0.755748622917245 -1.41331469620891 1.67913737630107 FALSE ""
900 14 53 1.11736482319838 -2.98013724534176 2.09009715055793 0.0752240129890184 -0.378568176089436 1.61362803933784 FALSE ""
900 81 54 1.20743492888306 -3.06275762915948 1.97335344043185 0.518776717043075 -0.999265071228351 1.95902702178366 FALSE ""
300 74 55 1.25844921341812 -3.1014757202484 1.94740299555039 1.76067508924803 -5.07913260152933 2.12261399617484 FALSE ""
700 5 56 1.31576988715208 -3.10628621448565 1.93602617102912 0.50046383211287 -0.361874182465396 1.55144973176775 FALSE ""
400 34 57 1.42848525308322 -3.10882081861616 1.66809968809221 1.5291961962952 -2.48366963021771 1.11707657133764 FALSE ""
200 47 58 1.2015903775185 -2.80585107261496 1.91520930750532 -0.342027933644851 -1.74735261715889 3.90868911589767 FALSE ""
600 19 59 1.1591080189038 -2.89305748168252 2.0263486483155 0.874697972706612 -1.5042232803311 0.809364698842153 FALSE ""
800 74 60 1.2464230282136 -3.15412428917127 1.96683529625631 1.43885990812218 -2.49359185723553 2.08151185142454 FALSE ""
500 15 61 1.29682041512215 -3.14689843804545 1.86770795370873 -0.0603579833454901 -0.66501786575621 3.01281873261533 FALSE ""
50 26 62 1.19189896550616 -2.81982491287883 1.84972113733692 -1.01834799583598 -1.00379468683458 3.85037815796446 FALSE ""
800 80 63 1.05021787534489 -2.89232281211948 2.19000117433886 2.14971555170589 -2.17252268360898 0.540034383396668 FALSE ""
300 81 64 1.04573915688327 -3.05338380362623 2.28101286611148 0.320553750225668 -0.0418362095424393 0.90090710634618 FALSE ""
200 17 65 1.39077511647294 -3.19066697936262 1.8517813387557 0.398644651406493 -3.63119338836291 3.0032612886383 FALSE ""
900 45 66 1.19818553203122 -3.04379134134685 2.0149411557418 0.461327843782758 -0.976366771754947 2.15848736465587 FALSE ""
600 34 67 1.19278681705774 -2.9597270028741 2.00039466852368 1.73934581821272 -1.70830635433609 -0.317452929552764 FALSE ""
800 77 68 1.31024400683055 -3.05797020019186 1.85645593445957 1.25398265723362 -2.12051705247245 1.65440224562736 FALSE ""
100 39 69 1.41197150993233 -2.88544887592995 1.63979757366269 2.00564690307102 -2.2086643807798 0.451368219986334 FALSE ""
700 43 70 1.13649736135227 -3.07287511013941 2.18346160075798 2.34819967752425 -2.77390176163308 0.881582320882389 FALSE ""
1000 87 71 1.27529196144249 -3.09242394812229 1.92809713546115 1.12674448043734 -1.65190608847693 1.26932952359342 FALSE ""
500 82 72 1.17963456002011 -3.03484041126254 2.00916977550451 1.45753032287192 -2.99793758934895 2.13209447708851 FALSE ""
50 64 73 0.448250041930606 -2.66281757758467 3.03358563752107 2.20679939441498 -4.56613719436216 1.82890379962954 FALSE ""
400 18 74 1.22864218635721 -2.99945028928854 2.03191693837289 2.13559018045024 -1.93791495614979 0.145702335830189 FALSE ""
300 42 75 1.26221738021677 -3.31276762227642 2.05785030913421 0.732945052314191 -2.47723739175811 3.46556842035785 FALSE ""
700 64 76 1.12806595407252 -2.89566876681728 2.08975545329477 0.994928507908798 -1.88179679528065 1.58896423392311 FALSE ""
900 16 77 1.14713560951071 -2.89692946220335 2.06508872066453 1.4379612776287 -2.200707789044 0.912272796788913 FALSE ""
400 3 78 1.25953600832928 -3.01048753962449 1.89569412285372 0.454354427218616 -1.95171389532209 2.56217185907716 FALSE ""
50 78 79 0.641609105922865 -2.36222440788401 2.59986080214279 2.70919368928742 -4.37885650984254 -0.042323427402178 FALSE ""
300 90 80 1.20179997110266 -2.94018774359533 1.99369408561179 0.636871013884467 -0.403891171629426 1.91988458607217 FALSE ""
700 47 81 1.33332773267156 -3.13155448345171 1.94490264203396 1.07338167079523 -2.64906234814954 1.86613853403247 FALSE ""
50 81 82 1.10783154949113 -2.8855795582201 2.07287515387694 1.75280980354593 1.84638652019579 -4.01894149650672 FALSE ""
800 43 83 1.1259702140295 -2.98100057964356 2.03195569678496 1.32607634582269 -2.54581203688971 1.25192710572866 FALSE ""
100 58 84 1.23903077871 -3.6412068206339 2.10724810695503 0.328031552148072 -0.392786595893624 1.11656364313183 FALSE ""
100 8 85 1.02897237191626 -2.88520754063275 2.18362738669251 1.53878826221909 -1.47850574408611 1.50965565175085 FALSE ""
500 38 86 1.20237599980117 -3.13182556091776 2.07226410217793 1.40832720603007 -2.37868496165865 1.87080345810461 FALSE ""
800 68 87 1.15027058503719 -3.07020811624576 2.1095809142013 1.87735420580497 -2.60960306121202 0.84332982218904 FALSE ""
500 63 88 1.13427789538318 -3.1154285453467 2.15431001861078 0.943268571032303 -1.85174501284958 2.0702679462767 FALSE ""
600 40 89 1.03140967506204 -2.76720306276683 2.14163405089386 1.71702063390266 -1.20608171896372 0.114117156333277 FALSE ""
400 56 90 1.2744478587366 -3.18536590679204 2.00577051860233 0.891421205725316 -2.51414594967098 1.89638694767846 FALSE ""
300 67 91 1.20262480414552 -3.14371918997836 1.93997646141989 1.63023298395886 -3.10907765282179 2.10815771577237 FALSE ""
800 78 92 1.23351458355026 -2.91694271975216 1.95496793771392 1.24959810668888 -1.8728764600022 1.40698833681803 FALSE ""
800 59 93 1.19456241796437 -3.05541236864399 2.07474160435538 1.10147958344925 -2.17286572165353 1.86577684561287 FALSE ""
