"mu" "sigma" "n" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
7 0.5 50 885 1 6.55995793363012 1.18197167673171e-40 FALSE ""
7 1.5 50 197 2 5.49994805911975 8.58292452593075e-28 FALSE ""
3 1 50 636 3 2.22829725870793 0.275157843175729 FALSE ""
3 0.5 50 1443 4 3.5668605958535 0.904725729300291 FALSE ""
7 0.5 50 1814 5 7.1857612695527 0.805834553922526 FALSE ""
7 1.5 50 1188 6 7.19102255885329 1.6531117917177 FALSE ""
3 1.5 50 1417 7 1.99969843601452 0.757085911483898 FALSE ""
3 0.5 50 1064 8 2.82002325490113 2.14357598884547e-26 FALSE ""
3 0.5 50 1517 9 3.04950599474973 0.442406996753485 FALSE ""
7 1 50 1358 10 7.62805885080371 1.52894855263843 FALSE ""
3 1 50 1094 11 2.22005670255177 1.65621818874726e-20 FALSE ""
7 1.5 50 584 12 6.7646391469736 1.34528650609648 FALSE ""
7 1 50 1930 13 7.73514097703516 1.31580589480592 FALSE ""
7 1 50 406 14 6.66735317940991 0.267047404163647 FALSE ""
3 0.5 50 549 15 3.24320886896213 0.676850583808501 FALSE ""
3 0.5 50 1676 16 2.70007627433067 0 FALSE ""
3 0.5 50 653 17 3.18836524075033 0.946427648867191 FALSE ""
7 0.5 50 1614 18 7.53257273373418 1.29319672066596 FALSE ""
7 0.5 50 400 19 7.05995297783809 6.98943354719111e-16 FALSE ""
7 0.5 50 1101 20 6.83335143380406 0.233567753665376 FALSE ""
7 1.5 50 115 21 7.1776985820147 1.29762267366995 FALSE ""
3 1.5 50 497 22 3.33077033126546 1.94135804637357 FALSE ""
7 1 50 391 23 6.03880872784562 0.198528438362674 FALSE ""
7 0.5 50 1185 24 7.86146566295272 1.16144692933434 FALSE ""
3 1.5 50 376 25 1.89599459500682 0.388954850080642 FALSE ""
3 0.5 50 1583 26 2.63994915795839 0 FALSE ""
3 1.5 50 111 27 2.36304896288957 0.747500080298611 FALSE ""
7 0.5 50 266 28 9.84180569269394 3.65730423177328 FALSE ""
7 0.5 50 1907 29 5.9402243962967 0 FALSE ""
7 1 50 447 30 6.62967804490629 0.409581800162311 FALSE ""
7 0.5 50 1977 31 6.14058793425134 0.160582152079163 FALSE ""
7 0.5 50 807 32 7.62439583121591 1.72612712379169 FALSE ""
3 1.5 50 453 33 3.42910358584427 1.97962598933396 FALSE ""
7 0.5 50 1011 34 6.11967725801343 4.3672507087638e-190 FALSE ""
3 0.5 50 191 35 2.5689611578288 0.63495615069459 FALSE ""
7 1.5 50 25 36 8.05730003420484 2.46477429730225 FALSE ""
7 1 50 981 37 7.46467110311452 1.4455218659125 FALSE ""
3 1 50 1357 38 3.36444831885769 1.83013559678553 FALSE ""
7 0.5 50 1496 39 7.00010072924016 2.36046410450801e-21 FALSE ""
3 0.5 50 1683 40 2.57999627720148 5.70983717897431e-46 FALSE ""
7 1 50 1504 41 8.70722514848552 2.49182374515489 FALSE ""
3 0.5 50 1708 42 4.25161225410182 1.61560876249034 FALSE ""
3 1 50 1006 43 3.17527292335682 1.10017697858162 FALSE ""
3 0.5 50 154 44 3.17862532100139 0.611570964772788 FALSE ""
3 1.5 50 1504 45 3.71142660645023 2.00550121212617 FALSE ""
3 1.5 50 207 46 2.28249418185375 0.483720382249676 FALSE ""
3 1.5 50 461 47 2.77191794724395 0.76233533714869 FALSE ""
3 1 50 650 48 2.5675415971917 0.533662919504889 FALSE ""
7 1.5 50 853 49 8.18692556261952 2.5349425393916 FALSE ""
7 0.5 50 60 50 6.10397531593653 0.0639772128934539 FALSE ""
7 1 50 732 51 9.52936400333983 3.77242335932979 FALSE ""
7 1.5 50 1275 52 5.76033894128953 2.22044589235712e-16 FALSE ""
7 1 50 361 53 5.96824103352309 0.567954440882803 FALSE ""
7 1.5 50 849 54 7.582703256007 1.5636735002362 FALSE ""
7 0.5 50 522 55 7.03129774018149 0.111498063225995 FALSE ""
7 1 50 1493 56 7.72419950785533 1.56523625561955 FALSE ""
7 1.5 50 1367 57 5.59974954359544 0 FALSE ""
3 1.5 50 1028 58 2.17318308511642 0.610869754041348 FALSE ""
7 1 50 1439 59 8.93556224830433 2.07718465107399 FALSE ""
7 1.5 50 640 60 6.9664937754227 1.44763097037003 FALSE ""
3 1 50 1813 61 3.40658061256933 1.302734804596 FALSE ""
7 0.5 50 941 62 6.35995100733266 0 FALSE ""
3 1.5 50 254 63 5.6392510965611 4.53487603318031 FALSE ""
7 1 50 1330 64 7.65682369275085 1.7987144292242 FALSE ""
3 1 50 756 65 1.99335298269606 0.526066990743758 FALSE ""
3 1 50 313 66 2.62246601775204 0.771317497998202 FALSE ""
7 0.5 50 796 67 6.79993183161464 1.95512499411001e-44 FALSE ""
3 0.5 50 1433 68 2.79033621516303 0.0296582756655147 FALSE ""
3 0.5 50 1138 69 2.61998284914658 1.58618663608698e-27 FALSE ""
7 1 50 428 70 6.15581852875713 0.362257284787865 FALSE ""
3 1.5 50 12 71 2.04307197459645 0.247552842631322 FALSE ""
3 1 50 1443 72 2.35999944667613 1.1781924105398e-35 FALSE ""
7 1.5 50 499 73 7.97343174371094 2.25841889907628 FALSE ""
3 1 50 220 74 2.93325440853379 1.43594945309529 FALSE ""
7 1.5 50 421 75 5.56010858981802 9.75474758753925e-98 FALSE ""
3 1 50 607 76 3.87201010672471 1.87541626373292 FALSE ""
7 1.5 50 1514 77 5.65780107031944 0.43746385250175 FALSE ""
7 1 50 1233 78 6.2798937834519 3.56575789614113e-84 FALSE ""
7 1 50 515 79 6.06080187586149 0.787163416914425 FALSE ""
7 1.5 50 404 80 8.63857925693025 3.01195045738429 FALSE ""
7 0.5 50 1061 81 6.60011351280245 6.99435350174065e-291 FALSE ""
7 1 50 1034 82 7.19978613876499 1.01975656899081 FALSE ""
7 1 50 1537 83 6.65995796774885 0 FALSE ""
3 0.5 50 1622 84 3.02545763989555 0.597017963776059 FALSE ""
7 1 50 496 85 7.33553621965294 1.7377834216769 FALSE ""
3 1 50 1550 86 1.76001230527361 1.74658958212048e-49 FALSE ""
7 1.5 50 1173 87 8.56124726051717 2.85226723429126 FALSE ""
7 0.5 50 708 88 7.45504019374205 0.914840719554709 FALSE ""
7 1 50 1297 89 6.78683164626191 0.906725067920094 FALSE ""
3 1 50 1523 90 2.73394924173636 1.03637740613591 FALSE ""
3 0.5 50 388 91 3.67418474791945 1.39292469797184 FALSE ""
3 1.5 50 157 92 8.14385290183809 7.79236147035624 FALSE ""
7 1 50 1897 93 6.59942017081418 0.319228639428642 FALSE ""
3 1 50 1618 94 4.08493675126794 2.40769052351409 FALSE ""
7 0.5 50 931 95 7.78561914413637 1.76736434678441 FALSE ""
3 0.5 50 43 96 3.99708218937004 1.62805371888122 FALSE ""
3 0.5 50 1416 97 3.79242767707881 1.56281936612596 FALSE ""
3 0.5 50 1752 98 2.61220368858429 0.361911338088545 FALSE ""
7 0.5 50 958 99 6.65995322233013 0 FALSE ""
3 1 50 1629 100 3.48200700801069 1.72314240125698 FALSE ""
7 1 50 1986 101 8.52165640032003 2.22479127365808 FALSE ""
7 1.5 50 317 102 5.82019517575507 2.86968074769032e-15 FALSE ""
7 1 50 1273 103 6.08577983046753 0.104553834982285 FALSE ""
3 0.5 50 622 104 3.32516770623288 0.820506307789928 FALSE ""
7 0.5 50 1918 105 6.62004521215145 0 FALSE ""
7 1.5 50 1135 106 8.9220787897063 4.20331651159014 FALSE ""
